"site","latitude","longitude"
"B4H010",-25.07513,30.43908
"B4H024",-25.06676,29.83338
"B4H025",-24.48338,30.40027
"B5H002",-24.26817,29.80113
"B5L006",-23.90403,29.88642
"B6H001",-24.68025,30.80213
"B6H002",-24.68231,30.8145
"B6H003",-24.68718,30.81368
"B6H004",-24.45931,30.82735
"B6H005",-24.51752,30.83174
"B6H006",-24.92735,30.54655
"B6H007",-24.72481,30.64366
"B6H016",-24.67981,30.80227
"B6H017",-24.31418,30.8562
"B7H001",-24.55065,31.02645
"B7H003",-24.12262,30.35837
"B7H004",-24.55622,31.03225
"B7H006",-24.13401,31.6998
"B7H007",-24.18473,30.82299
"B7H008",-24.0094,30.67236
"B7H009",-24.33116,30.74163
"B7H010",-24.035,30.43356
"B7H011",-24.16429,30.10559
"B7H012",-24.33678,31.14673
"B7H013",-24.17347,30.10274
"B7H014",-24.12415,30.35551
"B7H015",-24.06628,31.24288
"B7H019",-24.03642,31.12821
"B7H020",-24.231,31.634
"B7H023",-24.09263,30.27504
"B7H026",-24.05652,31.72091
"B8H001",-23.89403,30.06948
"B8H002",-23.81737,30.16476
"B8H003",-23.55183,30.1592
"B8H004",-23.92736,30.04309
"B8H005",-23.80209,29.98003
"B8H006",-23.85514,29.94808
"B8H007",-23.67099,30.99006
"B8H008",-23.65837,31.0499
"B8H009",-23.8793,30.36744
"B8H010",-23.89317,30.35765
"B8H012",-23.73404,30.06948
"B8H013",-23.60072,30.09531
"B8H014",-23.88001,30.07964
"B8H015",-23.22407,30.05364
"B8H017",-23.64701,30.71844
"B8H018",-23.83532,31.63744
"B8H019",-23.52622,31.39772
"B8H033",-23.28101,30.54309
"B8H034",-23.70217,31.21661
"B8H043",-23.75071,30.10809
"B8H069",-23.58599,30.34976
"B9H001",-22.83854,31.23709
"B9H002",-23.21628,31.22354
"B9H003",-23.14326,31.46262
"B9H004",-22.95096,31.23374
"B9H005",-23.0427,31.14979
"C1H001",-26.94244,29.26388
"C1H002",-27.16975,29.23331
"C1H003",-27.01077,28.6258
"C1H004",-26.62792,29.02453
"C1H005",-26.85425,29.32531
"C1H006",-26.77589,29.5415
"C1H007",-26.84108,29.72336
"C1H008",-26.86133,28.88461
"C1H009",-26.91658,28.43661
"C1H010",-27.07438,28.5653
"C1H011",-27.01938,28.6455
"C1H012",-27.00231,28.76528
"C1H014",-26.94241,29.26391
"C1H015",-27.17447,29.23572
"C1H017",-27.02314,28.59389
"C1H027",-26.78075,29.80697
"C1H044",-26.84883,29.31522
"C2H001",-26.64428,27.09033
"C2H002",-26.85269,26.63436
"C2H003",-26.82022,28.0633
"C2H004",-26.67075,28.03044
"C2H005",-26.72867,27.718
"C2H006",-26.25272,27.16027
"C2H007",-27.01011,26.69808
"C2H008",-26.7358,27.60827
"C2H009",-26.28969,26.83911
"C2H010",-26.68969,27.93608
"C2H014",-26.82438,27.92552
"C2H015",-26.6438,27.96438
"C2H017",-27.48072,26.22133
"C2H018",-26.97056,27.20967
"C2H019",-26.31133,26.83716
"C2H020",-26.18383,27.81827
"C2H021",-26.45411,28.0855
"C2H022",-27.39777,26.50555
"C2H023",-26.22441,27.73969
"C2H024",-26.28472,27.67997
"C2H025",-26.28883,27.66922
"C2H026",-26.23302,27.66886
"C2H027",-26.23383,27.65219
"C2H028",-26.24833,27.58969
"C2H031",-26.32383,27.41438
"C2H032",-26.31722,27.39216
"C2H033",-26.43722,27.32686
"C2H034",-26.41441,27.40277
"C2H035",-26.36941,27.25466
"C2H036",-26.37969,27.09966
"C2H037",-26.4605,27.05466
"C2H041",-26.25863,27.81219
"C2H047",-26.4505,27.14547
"C2H061",-27.38972,26.46388
"C2H062",-26.4058,27.60077
"C2H065",-27.37,26.35083
"C2H066",-27.49138,26.07444
"C2H067",-27.56064,26.2335
"C2H069",-26.37022,27.24811
"C2H070",-26.6405,28.22997
"C2H071",-26.61994,27.98052
"C2H073",-26.98472,26.63228
"C2H084",-26.87438,26.65825
"C2H085",-26.8805,26.96428
"C2H093",-26.85266,26.63436
"C2H124",-27.48072,26.22133
"C2H130",-26.82022,28.06331
"C2H133",-26.51064,28.35075
"C2H136",-26.45078,28.08933
"C2H137",-26.38025,28.0708
"C2H139",-26.91606,26.81722
"C2H140",-26.73828,27.59197
"C2H141",-26.45369,28.08578
"C2H145",-26.36033,28.51017
"C2H148",-26.39058,28.49728
"C2H149",-26.428,28.50333
"C2H177",-26.43794,28.46639
"C2H234",-26.69408,28.10731
"C2H272",-26.73147,27.99183
"C2H274",-27.07138,26.75833
"C2L001",-26.83439,26.80956
"C2L002",-26.84627,26.83332
"C2L007",-26.49341,27.13077
"C3H002",-27.72516,24.7082
"C3H003",-27.5735,24.74598
"C3H004",-27.55989,24.70625
"C3H005",-27.19908,25.33044
"C3H006",-26.61801,25.57684
"C3H007",-27.9032,24.61514
"C3H013",-28.16291,24.47069
"C3H016",-28.38651,24.29707
"C3H017",-27.47212,24.93043
"C4H001",-28.47388,26.68333
"C4H002",-27.84027,25.90472
"C4H003",-28.11305,26.90916
"C4H004",-27.935,26.12444
"C4H011",-27.84555,25.90888
"C4H015",-28.14444,26.41805
"C4H016",-28.11722,26.71916
"C4H017",-28.11666,26.72527
"C5H001",-29.44756,25.08792
"C5H002",-29.40451,26.10768
"C5H003",-29.16083,26.57222
"C5H004",-28.84537,26.18963
"C5H005",-29.04453,26.4063
"C5H006",-28.98444,26.34166
"C5H007",-29.14416,26.31805
"C5H008",-29.81254,26.21185
"C5H009",-29.90254,26.21462
"C5H010",-29.83448,25.64655
"C5H011",-29.81199,26.33741
"C5H012",-29.65805,25.97277
"C5H013",-28.9887,25.08293
"C5H014",-29.0425,24.59916
"C5H015",-28.80788,26.11185
"C5H016",-28.96036,24.24207
"C5H017",-29.05036,26.46213
"C5H018",-29.04369,24.64041
"C5H020",-30.03864,25.77822
"C5H022",-29.28583,26.92083
"C5H023",-29.28611,26.76361
"C5H035",-29.02861,24.63833
"C5H045",-29.44756,25.08792
"C5H046",-28.84537,26.18963
"C5H047",-28.9887,25.08293
"C5H048",-29.03277,23.98277
"C5H053",-28.94861,26.32111
"C5H054",-28.96666,26.33277
"C5H056",-29.37555,26.66555
"C6H001",-27.44138,26.98583
"C6H002",-27.39861,26.61333
"C6H003",-27.4,26.62555
"C6H004",-27.93583,27.99638
"C6H005",-27.44138,26.98638
"C6H006",-27.47611,26.65694
"C6H007",-27.67138,27.23694
"C6H009",-27.8725,27.91416
"C7H001",-27.26527,27.17277
"C7H002",-27.29166,27.2075
"C7H003",-27.35611,27.28555
"C7H004",-27.16694,27.1075
"C7H005",-27.12305,27.10916
"C7H006",-27.04628,27.00464
"C7H013",-27.25908,27.67245
"C7H014",-27.35713,27.28605
"C7H019",-27.26936,27.22854
"C7H020",-27.2163,27.4744
"C8H001",-27.27166,28.49111
"C8H002",-28.27069,29.11138
"C8H003",-27.845,28.96222
"C8H004",-27.70045,28.32136
"C8H005",-28.37583,28.86027
"C8H006",-28.29625,28.80526
"C8H007",-28.19097,28.34386
"C8H009",-28.05404,28.4922
"C8H010",-28.35638,29.09138
"C8H011",-28.16125,28.87443
"C8H012",-28.085,28.83694
"C8H013",-28.1075,28.78555
"C8H014",-27.81489,28.78304
"C8H016",-27.25825,28.40636
"C8H017",-27.12937,28.28358
"C8H018",-27.65184,28.86832
"C8H020",-27.68972,28.375
"C8H021",-27.3063,28.48553
"C8H022",-27.29861,28.49583
"C8H023",-28.02305,28.99472
"C8H024",-28.0757,28.6997
"C8H025",-28.13222,28.76222
"C8H026",-27.43083,28.52638
"C8H027",-27.30138,28.58555
"C8H028",-27.80277,28.7675
"C8H030",-27.29388,28.48888
"C8H033",-27.26631,28.48803
"C8H034",-27.68961,28.37803
"C8H037",-27.79583,28.31777
"C8H039",-28.64333,28.84027
"C9H001",-28.09375,24.8707
"C9H002",-29.04369,23.83678
"C9H003",-28.51344,24.69708
"C9H004",-29.07119,23.63622
"C9H005",-28.499,24.60319
"C9H007",-29.04369,23.83678
"C9H009",-28.51622,24.60069
"C9H010",-28.40623,24.27124
"C9H022",-29.04369,23.83678
"C9H024",-28.71149,24.0729
