"site","latitude","longitude"
"02EB015",45.01314,-79.61353
"02EB016",45.3242,-79.21194
"02EB017",45.26403,-78.81469
"02EB018",45.07042,-79.49383
"02EB019",45.14881,-79.11328
"02EB020",45.12008,-79.5765
"02EB021",45.21986,-79.27639
"02EB022",45.54156,-78.69539
"02EB023",44.98611,-79.82858
"02EC002",44.71367,-79.28161
"02EC008",44.26064,-79.34389
"02EC009",44.09492,-79.48956
"02EC010",44.01214,-79.68564
"02EC011",44.39708,-79.07083
"02EC014",44.77531,-79.29714
"02EC018",44.26753,-79.19461
"02EC019",44.99256,-79.04956
"02EC020",44.49697,-79.46797
"02EC021",44.13808,-79.11276
"02EC022",44.72561,-79.07044
"02ED003",44.24981,-79.82142
"02ED007",44.70719,-79.64375
"02ED013",44.64978,-79.90375
"02ED014",44.20003,-79.96
"02ED015",44.30736,-80.07203
"02ED017",44.72606,-79.77897
"02ED024",44.76767,-79.57828
"02ED026",44.02475,-79.96989
"02ED027",44.485,-79.966
"02ED029",44.13122,-79.78097
"02ED030",44.64681,-79.45203
"02ED031",44.50006,-80.19872
"02ED032",44.4425,-79.7995
"02ED100",44.04914,-79.80339
"02ED101",44.11058,-79.89028
"02ED102",44.1525,-79.89664
"02FA001",44.67753,-81.25606
"02FA002",45.03697,-81.33636
"02FA004",44.53553,-81.17769
"02FB007",44.52225,-80.93019
"02FB009",44.51986,-80.46778
"02FB010",44.57017,-80.6485
"02FB012",44.46423,-80.48576
"02FB013",44.34614,-80.53997
"02FB014",44.47178,-80.77653
"02FC001",44.45647,-81.32644
"02FC002",44.12047,-81.11533
"02FC011",44.11339,-81.01925
"02FC012",44.09869,-80.98456
"02FC015",44.26831,-81.26919
"02FC016",44.18542,-80.78747
"02FC017",44.09047,-80.74194
"02FC020",44.00061,-81.28381
"02FC021",44.16106,-80.92911
"02FD001",44.09467,-81.72578
"02FD002",43.96528,-81.51344
"02FD003",44.17281,-81.63106
"02FE002",43.88675,-81.32644
"02FE003",43.72723,-80.97267
"02FE005",43.91508,-81.26439
"02FE007",43.85439,-81.2505
"02FE008",43.81289,-81.30689
"02FE009",43.68436,-81.54117
"02FE010",43.67634,-81.07485
"02FE011",43.90381,-80.89261
"02FE013",43.71839,-81.12464
"02FE014",43.76033,-81.46319
"02FE015",43.71756,-81.62619
"02FE016",43.57925,-81.40131
"02FE017",43.89292,-81.06328
"02FE018",43.89473,-81.03733
"02FF002",43.07192,-81.65975
"02FF004",43.16075,-81.73183
"02FF007",43.55125,-81.58953
"02FF008",43.16413,-81.631511
"02FF009",43.36197,-81.50944
"02FF010",43.19339,-81.8145
"02FF011",43.54536,-81.39636
"02FF012",42.98408,-82.31875
"02FF013",43.18056,-81.44767
"02FF014",43.41883,-81.49547
"02FF015",43.59031,-81.58411
"02FF016",43.28625,-81.41564
"02GA003",43.35311,-80.31575
"02GA005",43.6936,-80.44531
"02GA006",43.54111,-80.55333
"02GA010",43.18972,-80.45503
"02GA014",43.86172,-80.27222
"02GA015",43.53372,-80.25222
"02GA016",43.73094,-80.34094
"02GA018",43.37722,-80.71081
"02GA023",43.57992,-80.50919
"02GA024",43.47192,-80.51427
"02GA028",43.65483,-80.70217
"02GA029",43.54778,-80.18203
"02GA030",43.37229,-80.55109
"02GA031",43.57614,-80.109
"02GA034",43.58503,-80.48147
"02GA038",43.48389,-80.835
"02GA039",43.78353,-80.63778
"02GA040",43.63861,-80.27
"02GA041",44.14003,-80.3627
"02GA042",43.823,-80.71786
"02GA043",43.36447,-80.63261
"02GA047",43.42186,-80.33275
"02GA048",43.41281,-80.41703
"02GA049",43.59637,-80.89428
"02GA050",43.61619,-80.58343
"02GB001",43.13272,-80.26731
