gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
rimsoniu-vms,Rimšonių VMS,Daugyvenė,56.00169,23.964458,,,Lithuania,Meteo.lt
rusiskiu-vms,Rušiškių VMS,Girutiškis,55.209629,25.857363,,,Lithuania,Meteo.lt
rusnes-atmata-vms,Rusnės VMS,Atmata,55.30066,21.3803,,,Lithuania,Meteo.lt
rusnes-skirvyte-vms,Rusnės VMS,Skirvytė,55.287031,21.371227,,,Lithuania,Meteo.lt
sarkiu-vms,Šarkių VMS,Sidabra,56.308952,23.621228,,,Lithuania,Meteo.lt
semeliskiu-vms,Semeliškių VMS,Strėva,54.668964,24.653065,,,Lithuania,Meteo.lt
siaulenu-vms,Šiaulėnų VMS,Šušvė,55.675663,23.446673,,,Lithuania,Meteo.lt
silininku-vms,Šilininkų VMS,Nemunas,55.198714,21.566672,,,Lithuania,Meteo.lt
silutes-vms,Šilutės VMS,Šyša,55.337168,21.475836,,,Lithuania,Meteo.lt
skirgailu-vms,Skirgailų VMS,Šešuvis,55.208908,22.305419,,,Lithuania,Meteo.lt
skuodo-vms,Skuodo VMS,Bartuva,56.280435,21.508347,,,Lithuania,Meteo.lt
smalininku-vms,Smalininkų VMS,Nemunas,55.072284,22.585918,,,Lithuania,Meteo.lt
sventosios-vms,Šventosios VMS,Šventoji,56.035485,21.119474,,,Lithuania,Meteo.lt
tabokines-vms,Tabokinės VMS,Nemunėlis,56.41415,24.855184,,,Lithuania,Meteo.lt
taurages-vms,Tauragės VMS,Jūra,55.250397,22.280468,,,Lithuania,Meteo.lt
tauragnu-vms,Tauragnų VMS,Tauragnas,55.442766,25.826318,,,Lithuania,Meteo.lt
traupio-vms,Traupio VMS,Nevėžis,55.510482,24.746812,,,Lithuania,Meteo.lt
trecioniu-vms,Trečionių VMS,Tatula,56.145003,24.518004,,,Lithuania,Meteo.lt
ukmerges-vms,Ukmergės VMS,Šventoji,55.247456,24.768688,,,Lithuania,Meteo.lt
uostadvario-vms,Uostadvario VMS,Atmata,55.344016,21.290822,,,Lithuania,Meteo.lt
ustukiu-vms,Ustukių VMS,Mūša,56.065853,24.370572,,,Lithuania,Meteo.lt
vaineikiu-vms,Vaineikių VMS,Platonis,56.316568,23.571321,,,Lithuania,Meteo.lt
valkininku-vms,Valkininkų VMS,Šalčia,54.339546,24.850475,,,Lithuania,Meteo.lt
varenos-vms,Varėnos VMS,Varėnė,54.249671,24.555675,,,Lithuania,Meteo.lt
varniu-vms,Varnių VMS,Stervas,55.770855,22.401059,,,Lithuania,Meteo.lt
verbyliskiu-vms,Verbyliškių VMS,Verknė,54.572081,24.182523,,,Lithuania,Meteo.lt
viasniunu-vms,Viašniūnų VMS,Baluošas,55.387729,26.061933,,,Lithuania,Meteo.lt
vilniaus-neris-vms,Vilniaus VMS,Neris,54.691858,25.276258,,,Lithuania,Meteo.lt
vilniaus-vilnia-vms,Vilniaus VMS,Vilnia,54.679215,25.294857,,,Lithuania,Meteo.lt
zadeikiu-vms,Žadeikių VMS,Pyvesa,56.033584,24.43964,,,Lithuania,Meteo.lt
zagares-vms,Žagarės VMS,Švėtė,56.360208,23.251806,,,Lithuania,Meteo.lt
zervynu-vms,Zervynų VMS,Ūla-Pelesa,54.109543,24.498255,,,Lithuania,Meteo.lt
zilpamusio-vms,Žilpamūšio VMS,Mūša,56.194006,24.423412,,,Lithuania,Meteo.lt
zindaiciu-vms,Žindaičių VMS,Mituva,55.172566,22.705305,,,Lithuania,Meteo.lt
zuvinto-vms,Žuvinto VMS,Žuvintas,54.45,23.583,,,Lithuania,Meteo.lt
