key,updated,title,summary,link,name,id,owner,measuringStations,active,from,to,latitude,longitude,region,catchmentName,catchmentNumber,catchmentSize,gauge_id,station_name,river,area,country,source,altitude
1881,1763118000000.0,Vattenföring (Dygn) - ARÖDÅN,Latitud: 58.2444 Longitud: 11.9347,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1881.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ARÖDÅN,1881,SMHI,CORE,True,1964-10-31 22:00:00,2025-11-14 22:00:00,58.2444,11.9347,108109,,108109,22.9,1881,ARÖDÅN,,22.9,Sweden,SMHI HydroObs,
10435,1009749600000.0,Vattenföring (Dygn) - ASMUNDTORP,Latitud: 55.8918 Longitud: 12.9778,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10435.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ASMUNDTORP,10435,Extern,ADDITIONAL,False,1994-06-30 22:00:00,2001-12-30 22:00:00,55.8918,12.9778,93,SAXÅN,93000,8.3,10435,ASMUNDTORP,SAXÅN,8.3,Sweden,SMHI HydroObs,
1166,1763118000000.0,Vattenföring (Dygn) - ASSMEBRO,Latitud: 57.4315 Longitud: 13.1297,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1166.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ASSMEBRO,1166,SMHI,CORE,True,1925-09-11 22:00:00,2025-11-14 22:00:00,57.4315,13.1297,103,ÄTRAN,103000,652.8,1166,ASSMEBRO,ÄTRAN,652.8,Sweden,SMHI HydroObs,
2371,1763118000000.0,Vattenföring (Dygn) - ATTORP,Latitud: 58.3569 Longitud: 13.3493,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2371.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2371.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2371.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",ATTORP,2371,SMHI,CORE,True,1985-10-14 22:00:00,2025-11-14 22:00:00,58.3569,13.3493,108,GÖTA ÄLV,108000,663.1,2371,ATTORP,GÖTA ÄLV,663.1,Sweden,SMHI HydroObs,
2755,1658527200000.0,Vattenföring (Dygn) - AVERSTADÅN,Latitud: 59.0023 Longitud: 13.1139,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2755.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2755.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2755.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",AVERSTADÅN,2755,Extern,ADDITIONAL,False,2019-01-13 22:00:00,2022-07-22 22:00:00,59.0023,13.1139,-9999,GÖTA ÄLV,108000,-9999.0,2755,AVERSTADÅN,GÖTA ÄLV,-9999.0,Sweden,SMHI HydroObs,
90039,1381096800000.0,Vattenföring (Dygn) - Avasundet VM,Latitud: 64.3195 Longitud: 21.3401,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/90039.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/90039.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/90039.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",Avasundet VM,90039,SMHI,CORE,False,2010-10-27 22:00:00,2013-10-06 22:00:00,64.3195,21.3401,-9999,MÅNGBYÄLVEN,22000,218.578,90039,Avasundet VM,MÅNGBYÄLVEN,218.578,Sweden,SMHI HydroObs,
1374,602200800000.0,Vattenföring (Dygn) - BACKA ÖVRE,Latitud: 59.1511 Longitud: 14.8108,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1374.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1374.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1374.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BACKA ÖVRE,1374,SMHI,CORE,False,1944-12-31 22:00:00,1989-01-30 22:00:00,59.1511,14.8108,61,NORRSTRÖM,61000,828.0,1374,BACKA ÖVRE,NORRSTRÖM,828.0,Sweden,SMHI HydroObs,
828,-347248800000.0,Vattenföring (Dygn) - BACKEN,Latitud: 62.5375 Longitud: 12.6236,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/828.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/828.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/828.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BACKEN,828,SMHI,CORE,False,1915-07-31 22:00:00,1958-12-30 22:00:00,62.5375,12.6236,48,LJUSNAN,48000,60.0,828,BACKEN,LJUSNAN,60.0,Sweden,SMHI HydroObs,
2694,1729029600000.0,Vattenföring (Dygn) - BACKMO,Latitud: 61.8186 Longitud: 16.7794,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2694.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2694.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2694.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BACKMO,2694,Extern,ADDITIONAL,False,2017-11-19 22:00:00,2024-10-15 22:00:00,61.8186,16.7794,45,DELÅNGERSÅN,45000,-9999.0,2694,BACKMO,DELÅNGERSÅN,-9999.0,Sweden,SMHI HydroObs,
622,-852170400000.0,Vattenföring (Dygn) - BAGGEBOL,Latitud: 58.9319 Longitud: 17.2611,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/622.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/622.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/622.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BAGGEBOL,622,SMHI,CORE,False,1933-11-30 22:00:00,1942-12-30 22:00:00,58.9319,17.2611,64,SVÄRTAÅN,64000,61.0,622,BAGGEBOL,SVÄRTAÅN,61.0,Sweden,SMHI HydroObs,
