gauge_id,station_name,station_no,latitude,longitude
36308,Fiddlers Ford,133155,55.09849668,-3.680572053
37294,Firhall,234218,57.57160708,-3.869783835
37298,Forres,234221,57.60477145,-3.644084919
36748,Forteviot Bridge,14970,56.34759942,-3.548359476
36312,Friars Carse,133156,55.14868484,-3.690747738
36086,Gaidrew,133086,56.04809931,-4.434505213
38500,Galashiels,9683,55.62706185,-2.827709454
36480,Gargunnock,14892,56.13266077,-4.070571402
37302,Garve,234225,57.61669586,-4.688028816
36550,Gella Bridge,14916,56.77535832,-3.027929218
36090,Glen Orchy,133087,56.44657591,-4.852749436
36094,Glen Strae,133088,56.42522107,-5.000795867
37940,Glenbreck,368490,55.48202196,-3.477754728
36100,Glenfalloch,133089,56.33773623,-4.717635246
37648,Glenfield,83013,55.60118281,-4.493559809
36316,Glenlochar,133157,54.95554151,-3.979143444
37306,Glenmeanie,234227,57.53261438,-4.863772899
36474,Glenochil,14891,56.14364525,-3.839304837
36790,Gordon Arms,14984,55.51137227,-3.096406906
37310,Grange,234228,57.54279921,-2.847774986
37314,Grantown,234229,57.32177064,-3.606725707
38290,Graystone Bridge,518372,56.0675405,-4.282616591
36320,Green Burn,133158,55.0828864,-4.381888551
36582,Guthrie,14924,56.64274771,-2.706028939
37318,Halkirk,234231,58.5154974,-3.493004244
36330,Hall Bridge,133160,55.39297897,-4.079109518
37324,Halladale,234232,58.47881083,-3.90301916
36104,Happendon,133092,55.5801981,-3.816796943
37328,Haughton,234235,57.27134676,-2.404963889
36830,Hawick,15001,55.43447121,-2.756965079
36108,Hawkhead,133093,55.83606531,-4.398537371
36112,Hazelbank,133094,55.68735585,-3.854153414
36454,Headswood,14886,56.01500087,-3.875456793
38492,Hermitage,8402,56.5609809,-3.607201681
37332,Heugh Head,234237,57.02524569,-2.517160888
36116,Hoodston Bridge,133096,55.60122684,-4.428249956
37606,Howard Park,322555,55.60465827,-4.499004047
37974,Huntly GS,369548,57.45498575,-2.807560217
279903,Hutton Castle,15020,55.7889,-2.1917
37340,Inverbervie,234241,56.85144056,-2.286119413
37344,Inverbroom,234242,57.81047099,-5.058237756
37348,Invergairn,234243,57.05992614,-3.069535364
37988,Inveriscandye,371579,56.79987798,-2.626620926
36120,Inverlochy,133097,56.40496092,-4.923669812
36590,Invermark,14926,56.91121364,-2.914811966
37352,Invermuick,234247,57.03951544,-3.049304978
37356,Invertruim,234248,57.04053804,-4.164639706
37360,Inverugie,234249,57.52669115,-1.832792272
36842,Jedburgh,15006,55.48529122,-2.54668704
38328,Kelly Den - Arbilot,532820,56.55248062,-2.640451372
36604,Kemback,14929,56.3309034,-2.948442952
38488,Kenmore,8295,56.59638815,-3.985061725
37364,Kerrow Wood,234251,57.34937628,-4.736427892
38152,Kilbirnie,494257,55.75642821,-4.685378197
36124,Killermont,133099,55.90623638,-4.307622592
36702,Killiecrankie,14958,56.75025399,-3.79910265
37368,Killilan,234252,57.31881832,-5.424835603
36616,Killin,14933,56.45816211,-4.331876561
37374,Kilphedir,234253,58.14138911,-3.702814019
36128,Kilwinning,133101,55.64563956,-4.692060096
36470,Kinbuck,14890,56.2255551,-3.949530685
36692,Kindrogan,14955,56.74926972,-3.544931301
36756,Kingledores,14972,55.54240926,-3.413947163
36738,Kinkell Bridge,14968,56.33018709,-3.726992915
38066,Kinlochewe Lodge,471362,57.60438272,-5.291673059
37384,Kinrara,234257,57.15134199,-3.85017621
36506,Kinross,14903,56.19853589,-3.422943515
36132,Kirkmuirhill,133102,55.66506695,-3.893674093
36578,Kirkton Mill,14923,56.63544717,-2.564584008
37934,Ladyflat Farm,368486,55.75636712,-2.369501202
38018,Lagganbeg,396186,56.05128388,-4.52729393
36136,Langholm A,133103,55.46679973,-4.362070221
38222,Langholm Bridge,506155,55.1521906,-3.000489189
37844,Langwell Lodge,354621,57.9748238,-5.100589967
36500,Lathro,14902,56.2213192,-3.42872292
37870,Laxdale,356217,57.86865846,-6.893581696
37388,Laxford Bridge,234260,58.37221983,-4.991457712
36140,Lennox Castle,133104,55.98029455,-4.220982816
36420,Lennoxlove,14874,55.93584934,-2.784195821
36144,Letham,133105,55.76643914,-4.284272139
36424,Liberton,14876,55.92458009,-3.165787507
38394,Limmerhaugh,542772,55.51674252,-4.189197017
36810,Lindean,14990,55.57486097,-2.816174621
36152,Linnbrane,133107,55.98877125,-4.57598193
37396,Little Assynt,234264,58.17438109,-5.152302768
37402,Littlemill,234265,57.04544067,-3.118285636
38090,Loakmill No 2,474477,56.49180756,-3.508004624
37838,Loch Ailsh Level,354613,58.04827715,-4.855312073
38074,Loch Beannacharain,473090,57.5217999,-4.95927599
36334,Loch Dee Outlet,133163,55.08809918,-4.386053697
459053,Loch Katrine,14910,56.22701614,-4.43624573
38098,Loch Leven Sluices,477620,56.17937821,-3.335224928
38448,Logie Bridge,567430,57.49449251,-3.736619229
36596,Logie Mill,14927,56.7668773,-2.493365398
36338,Low Malzie,133167,54.85901864,-4.522077924
35956,Lower Monachyle,116006,56.37472206,-4.4712587
36390,Luffness,14865,56.02022484,-2.821888561
36638,Luncarty,14940,56.46394135,-3.477636063
36156,Luss,133108,56.10033657,-4.644123033
36600,Luther Bridge,14928,56.7936908,-2.55997015
36760,Lyne Ford,14973,55.64466586,-3.263056512
36764,Lyne Station,14974,55.64733183,-3.25808918
36160,Maidencots,133110,55.51579546,-3.695370189
36164,Mainholm,133111,55.46104476,-4.592546164
37414,Mar Lodge,234274,56.98804049,-3.486197825
36706,Marble Lodge,14959,56.82242289,-3.816539353
36646,Mill Bank,14945,56.54503404,-3.333677733
37856,Mill Croft,354623,57.2886568,-7.368331541
37958,Mill of Keithfield,368494,57.39549598,-2.268170959
37418,Mill of Tore,234277,57.33389585,-4.575831167
36168,Milliken Park,133112,55.82523457,-4.537788828
36172,Milngavie,133113,55.93341456,-4.309062631
36520,Milton,14907,56.18112306,-4.412580797
36176,Milton of Campsie,133114,55.95994689,-4.153697207
37422,Minmore,234279,57.34451357,-3.328222906
36342,Minnoch Bridge,133168,55.03887143,-4.563503023
36180,Monyquil Farm,133115,55.56419458,-5.271931931
36346,Mossknowe,133169,55.01280562,-3.119586538
36874,Mouthbridge,15022,55.77012815,-2.279193263
37426,Moy Bridge,234284,57.55657789,-4.539965573
37430,Muiresk,234286,57.53766592,-2.493533301
37992,Murray Burn,372859,55.91287677,-3.317681386
36400,Murrayfield,14868,55.94563152,-3.237786767
37700,Murton,335650,56.65077608,-2.823539396
38484,Musselburgh,635,55.93950941,-3.060909073
37434,Ness-side,234287,57.4545366,-4.259846808
37438,New Kelso,234289,57.42953514,-5.429999168
36350,Newcastleton,133170,55.17647238,-2.81316152
37444,Newhall Bridge,234290,57.65781737,-4.17662641
36438,Newliston,14882,55.9429625,-3.420216359
36186,Newmilns,133117,55.60610732,-4.331033075
36684,Newton Bridge,14953,56.4611514,-3.799234379
36354,Newton Stewart,133171,54.95726338,-4.480525846
38496,Norham,9514,55.72229365,-2.163435109
36848,Ormiston Mill,15007,55.54491924,-2.473314492
36190,Overlee,133118,55.78987786,-4.266853356
36194,Oxgang,133119,55.9354055,-4.13808503
37448,Park,234291,57.075424,-2.335825098
37452,Parkhill,234292,57.21832146,-2.187586406
36782,Peebles,14979,55.64758358,-3.180313467
36796,Philiphaugh,14985,55.53980549,-2.890068293
37456,Pitcaple,234293,57.32351879,-2.464869508
36716,Pitlochry,14963,56.69656771,-3.720794881
36622,Pitnacree,14935,56.66006824,-3.756901303
38110,Pluscarden Abbey,486057,57.59946107,-3.433170424
37460,Polhollick,234294,57.05514629,-3.083180673
37466,Polloch,234295,56.75844885,-5.613663683
36446,Polmonthill,14884,55.99837265,-3.681998769
37472,Poolewe,234296,57.76144201,-5.599076889
36546,Prosen Bridge,14915,56.71469976,-2.988763564
38278,Quinloch Bridge,517413,56.00926669,-4.375847831
37480,Redcraig,234298,57.42475756,-2.802015318
36358,Redhall,133175,55.16743102,-3.450205295
36198,Redlees,133122,55.81909284,-4.108983791
38410,Renagour Bridge,554836,56.17693404,-4.418601789
37888,Rhidorroch,356990,57.90929699,-5.117024011
36202,Robstone,133123,55.25880544,-4.807721027
37484,Rosehall,234300,57.98210062,-4.586149187
36362,Rowanburnfoot,133176,55.07463868,-2.918221754
36366,Rusko,133177,54.90579321,-4.197617244
37488,Sgodachail,234305,57.89327664,-4.546976399
37494,Shenachie,234306,57.37739614,-3.954996467
37498,Sheriffmills,234307,57.64636934,-3.351933142
36212,Shewalton,133125,55.59709275,-4.627788758
37502,Shielfoot,234310,56.76454538,-5.820892452
36770,Shiplaw,14975,55.72796917,-3.207291434
36216,Sills of Clyde,133126,55.66312399,-3.70505823
37506,Skeabost,234313,57.45437017,-6.311235369
36220,Spiers Bridge,133128,55.80186787,-4.32218584
36412,Spilmersford,14871,55.9100322,-2.871497598
36854,Sprouston,15012,55.61103047,-2.395690658
36608,St Michaels,14930,56.3903691,-2.908114188
37830,Stobs Castle,345032,55.38179195,-2.780516606
36612,Strathmiglo,14931,56.27758355,-3.253078016
37520,Strathpeffer,234316,57.59297854,-4.523041423
37524,Strathy Bridge,234319,58.55872143,-4.002604762
37534,Tarroul,234324,58.47619579,-3.267060495
36826,Teviothead,14999,55.34222734,-2.936481216
37542,Tromie Bridge,234327,57.0717185,-3.998638147
36224,Tulliford Mill,133130,55.64374172,-3.75902119
36442,Turnhouse,14883,55.94528452,-3.345442654
38218,Unthank Bridge,506153,55.24336243,-2.967499315
35960,Upper Monachyle,116007,56.39271229,-4.463706898
36228,Victoria Bridge,133131,56.53983375,-4.813560642
37552,Wardend Bridge,234331,57.58239454,-3.608335401
36370,Waterhead,133178,55.37439338,-4.304549757
36232,Waterside,133133,55.77868352,-4.240656047
37982,Waterside Perth,369554,56.89929851,-2.820760629
35966,Weisdale Mill,116008,60.2593269,-1.288604022
37946,Wellsies Burn,368491,56.52284051,-3.293836481
36236,Wellwood,133135,55.5109582,-4.123670365
36642,Wester Cardean,14944,56.60590455,-3.151232647
38192,Wheeb Bridge,502896,55.09004091,-4.661771619
36432,Whitburn,14881,55.87157334,-3.682936938
37866,White Bridge,355980,57.33362742,-4.673089381
36374,White Laggan,133180,55.07382387,-4.401198238
37558,Woodend,234333,57.0501291,-2.603567118
36382,Woodfoot,133182,55.29395422,-3.41903487
36870,Abbey St Bathans,15018,55.85329633,-2.387448356
37132,Aberlour,234150,57.48021805,-3.205975095
36730,Aberuchill,14966,56.37078118,-4.019153819
38350,Almondbank at Main Street,535347,56.41717637,-3.516105507
37152,Arcan Spillway,234154,57.55332889,-4.550906092
36720,Auchinner,14964,56.31678388,-4.112254665
36678,Auchnafree,14952,56.47302976,-3.904678161
37610,Avonbank,322556,55.66347112,-4.051617294
36654,Balbrogie,14947,56.57225831,-3.240802881
36634,Balmacneil,14938,56.63825013,-3.664198017
36262,Barsolus,133142,54.8658531,-4.951330607
36270,Braidlie,133144,55.26142915,-2.824951121
36752,Bridge of Earn,14971,56.3497307,-3.402582026
37188,Bridge of Oich,234172,57.09229844,-4.74425988
36532,Callander,14911,56.2422863,-4.214924958
36670,Camusvrachan,14950,56.60039168,-4.250199477
38178,Cleuchhead,499810,56.94774412,-2.388756894
37222,Conon Bridge,234185,57.5694305,-4.440534753
37232,Craigard,234189,57.06557358,-4.822135914
38302,Crieff,520119,56.36081905,-3.847275886
36734,Dalginross,14967,56.37511953,-3.978605821
36710,Dalnamein,14960,56.79925858,-4.053453634
36070,Dryfield,133080,55.93891825,-4.182216743
38010,Erchless,377135,57.42804453,-4.623845183
36658,Forter,14948,56.76674681,-3.332205729
36814,Fountainhall,14991,55.73663595,-2.905930746
38170,Foyers,498342,57.26265002,-4.483020773
38436,Gairlochy,559194,56.91442441,-4.991445495
37930,Garthdee,368014,57.11882365,-2.124396574
38476,Glassgreen,581106,57.63198387,-3.296482414
36862,Grantshouse,15015,55.88238352,-2.292035856
36326,Greensands,133159,55.06942626,-3.617944341
38428,Hottsbridge,559081,55.09041993,-3.167804617
36786,Innerleithen,14981,55.61992749,-3.061056074
37336,Inveran,234240,57.94318903,-4.410383325
38354,Inverlaidnan Bridge,535718,57.26705143,-3.883273172
37862,Inveroykel Bailey Bridge,354624,57.97362007,-4.604090887
37696,Inzion,335641,56.68930326,-3.177597556
37620,Irvine Waterside,327231,55.61682305,-4.674740715
37822,Ivy Bridge,341495,57.31837309,-4.497591991
38432,Johnstonehall,559082,55.06482387,-3.221128314
37380,Kincraig,234254,57.12680642,-3.92521234
36000,Kirkfieldbank,124855,55.67631471,-3.803247871
35952,Kirkton Burn,116005,56.36683432,-4.377397065
38038,Kirktown of Fetteresso,463690,56.96107386,-2.24381097
36818,Lauder (New Mills),14996,55.73932168,-2.755976423
37392,Levishie,234262,57.22003826,-4.647834071
37954,Links Farm,368493,56.53282434,-3.339459645
37884,Loch A Bhraoin,356328,57.72829261,-5.098319842
38414,Loch Ard,554837,56.18379617,-4.422949664
37406,Loch Flemington,234267,57.54236344,-3.993033026
38086,Loch Maree,473675,57.6695583,-5.447154185
37410,Loch Naver,234268,58.28571328,-4.389718176
37850,Loch Tormasad,354622,57.56195723,-7.316740973
38468,Loch Vaa,579464,57.23627646,-3.803196316
477389,Loch Venachar,14898,56.23425763,-4.25686637
35684,Lochindorb Level,115371,57.39798722,-3.714675739
38240,Lochwinnoch,509677,55.78853152,-4.618943233
36774,March Street,14976,55.6553291,-3.19057537
37880,Meikle Kinord,356327,57.07826247,-2.921345756
38206,Meikleholm Bridge,504722,55.36209214,-3.462380402
36664,Moar,14949,56.57276553,-4.388958153
36528,Nungate,14909,55.95402395,-2.771735305
35500,Perth,10048,56.41191473,-3.434206313
37746,Peter s Bridge,336365,57.59839179,-4.428885478
37476,Red Bridge,234297,57.45461034,-4.494575811
36206,Ross Priory,133124,56.05257642,-4.55746111
38472,Royal Brackla Lade,581105,57.55531817,-3.887903021
37514,Spey Dam,234315,57.01121062,-4.336367491
38332,Sterling Mills Gauging Station,532968,56.14812902,-3.738809826
37978,Stonyford,369551,56.84214794,-2.811870347
37530,Struy,234321,57.42569662,-4.682400374
36560,Tannadice,14918,56.7088965,-2.857771833
36378,Whitesands,133181,55.06536955,-3.610749368
