L1_ts_name,station_name,longitude,L1_ts_unitsymbol,L1_station_longname,latitude,L1_timestamp,metadata_station_id,L1_ts_precision,L1_stationparameter_no,L1_web_flow_class,gauge_id,L1_req_timestamp,L1_stationparameter_name,L1_label,L1_ts_value,L1_ts_id,catchment,metadata_station_carteasting,metadata_station_cartnorthing,metadata_site_name,metadata_station_longname,metadata_site_no,metadata_object_type,metadata_station_local_x,metadata_station_local_y,metadata_station_elevation,area,metadata_WTO_OBJECT,river,country,source
81 Web Kontinuirani,HS Klokot,15.805465327990555,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.82307514889382,2026-01-02T15:00:00.000+01:00,12214,"Deci,3,0,0",Q,,2210,,Proticaj,Proticaj,8.838,4650010,Una,6326544.67,4966638.54,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5563759.39,4964613.56,,,Klokot,Klokot,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Sanski Most,16.66640857558138,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.76676477936768,2026-01-02T15:00:00.000+01:00,12217,"Deci,3,0,0",Q,#MIN#,2320,,Proticaj,Proticaj,22.828,1771010,Una,6394526.75,4958900.81,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,6394526.75,4958900.81,,,Sana,Sana,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Ključ,16.79647,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.525075,2025-09-25T11:00:00.000+02:00,12216,"Deci,3,0,0",Q,#MIN#,2310,,Proticaj,Proticaj,9.489,4758010,Una,1869774.49,5547061.59,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,6404424.78,4931884.63,,,Sana,Sana,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Vodoprivreda,18.393180274782445,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.85265222064151,2026-01-02T15:00:00.000+01:00,12180,"Deci,3,0,0",Q,,4142,,Proticaj,Proticaj,3.351,8538010,Bosna,6531698.64,4856540.76,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6531698.64,4856540.76,,,Miljacka,Miljacka,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Donja Višća,18.626311096457933,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.420390697597206,2026-01-02T15:00:00.000+01:00,12183,"Deci,3,0,0",Q,#<MIN#,9045,,Proticaj,Proticaj,0.948,11454010,Bosna,6549963.760000001,4919733.94,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6549963.76,4919733.94,,,Oskova,Oskova,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Modrac,18.5101250232244,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.51205954598736,2026-01-02T15:00:00.000+01:00,12185,"Deci,3,0,0",Q,#<MIN#,4620,,Proticaj,Proticaj,0.0,10482010,Bosna,6540648.69,4929855.46,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6540648.69,4929855.46,,,Spreča,Spreča,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Bliha,16.643788245361893,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.77190023621821,2026-01-02T15:00:00.000+01:00,12141,"Deci,3,0,0",Q,#<MIN#,9019,,Proticaj,Proticaj,0.69,5082010,Una,6392745.69,4959501.12,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,6392745.69,4959501.12,,,Bliha,Bliha,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Strašanj,18.62899311076359,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.46875057889586,2026-01-02T15:00:00.000+01:00,12184,"Deci,3,0,0",Q,,4610,,Proticaj,Proticaj,0.693,10374010,Bosna,6550136.22,4925108.86,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6550136.22,4925108.86,,,Spreča,Spreča,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Martin Brod,16.134787432991413,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.49567122433264,2026-01-02T15:00:00.000+01:00,12220,"Deci,3,0,0",Q,#MIN#,2010,,Proticaj,Proticaj,28.607,3786010,Una,6351754.01,4929607.35,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5590307.94,4928544.02,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Bioštica,18.593087746757195,m³/s,HS Bioštica - osmatrač do kraja 2018,44.11547364004528,2026-01-02T15:00:00.000+01:00,12143,"Deci,3,0,0",Q,#MIN#,4411,,Proticaj,Proticaj,2.486,9726010,Bosna,2069773.06,5483329.42,Bosna,HS Bioštica - osmatrač do kraja 2018,4,General;Hidrološka stanica,6547561.73491002,4885835.891,,,Bioštica,Bioštica,Bosnia and Herzegovina,vodostaji.voda.ba
