gauge_id,station_name,station_name_local,river,latitude,longitude,altitude,area,country,source,station_code,station_type,agency,basin,province,district,subdistrict,vertical_datum
1475104,Mae Khan Bridge,สะพานน้ำแม่ขาน,,18.7955,98.7307,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU293,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Samoeng District,Samoeng Tai,MSL
1475106,Mae Klang Nam Bridge,สะพานน้ำแม่กลาง,,18.507513,98.66199,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU294,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Chom Thong District,Ban Luang,MSL
1475116,Mae Chaem Bridge,สะพานน้ำแม่แจ่ม,,18.6844,98.37616,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU300,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Mae Chaem District,Mae Na Chon,MSL
1475118,Ngad Bridge,สะพานน้ำแม่งัด,,19.238924,99.18049,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU301,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Phrao District,Mae Pang,MSL
1475120,Mae Taeng Bridge,สะพานน้ำแม่แตง,,19.382952,98.71209,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU302,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Chiang Dao District,Mueang Khong,MSL
1475122,Ping River Bridge,สะพานแม่น้ำปิง,,19.507929,98.958786,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU303,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Chiang Dao District,Thung Khao Phuang,MSL
1476456,Khlong Mae Soi Bridge,สะพานน้ำคลองแม่สอย,,18.784437,99.569565,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU322,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Wang Basin,Lampang,Chae Hom District,Mae Suk,MSL
1476459,Mae Tam Bridge,สะพานน้ำแม่ต๋ำ,,18.045277,99.23952,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU324,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Wang Basin,Lampang,Soem Ngam District,Thung Ngam,MSL
1476461,"Friendship Bridge, Tui River",สะพานพัฒนามิตรภาพแม่น้ำตุ๋ย,,18.474382,99.46628,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU325,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Wang Basin,Lampang,Mueang Lampang District,Ban Ueam,MSL
1481108,Mae Ka Bridge,สะพานน้ำแม่คะ,,19.3372,100.4312,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU335,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Phayao,Pong District,Pha Chang Noi,MSL
1481122,Nam Ngao Bridge,สะพานน้ำงาว,,18.889069,99.94006,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU342,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Lampang,Ngao District,Ban Rong,MSL
1481128,Building Bridge,สะพานบ้านตึก,,17.58679,99.81124,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU346,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Sukhothai,Si Satchanalai District,Ban Tuek,MSL
1481146,Mae Chu Bridge,สะพานน้ำแม่จั๊ว,,19.019,100.26423,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU355,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Phayao,Chiang Muan District,Sa,MSL
1481148,Mae Tha Nam Bridge,สะพานน้ำแม่โถ,,18.5331,97.9348,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU356,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Salawin Basin,Mae Hong Son,Mae La Noi District,Mae La Luang,MSL
1481153,Mae Sin Nam Bridge,สะพานน้ำแม่สิน,,17.802008,99.8496,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU359,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Phrae,Wang Chin District,Na Phun,MSL
1482445,Nam Pi Chiang Bridge,สะพานน้ำปี้ เชียงม่วน,,18.88195,100.28276,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU368,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Yom Basin,Phayao,Chiang Muan District,Chiang Muan,MSL
1483103,Phaya Athitraj Bridge,สะพานพญาอาทิตราช,,17.37028,98.48728,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU370,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Ping Basin,Chiang Mai,Omkoi District,Mon Chong,MSL
1483111,Khlong Mae Mon Bridge,สะพานคลองแม่มอญ,,18.810114,99.50327,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU373,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Wang Basin,Lampang,Mueang Pan District,Chae Son,MSL
1483127,Phra Ruang Bridge across the Kwai Noi,สะพานพระร่วงข้ามน้ำแควน้อย,,17.185362,100.68035,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU384,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Nan Basin,Phitsanulok,Nakhon Thai District,Nong Kathao,MSL
1483131,Khek Bridge,สะพานน้ำเข็ก,,16.835382,100.56083,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU386,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,Nan Basin,Phitsanulok,Wang Thong District,Wang Nok Aen,MSL
149,Bang Nam Priao,ปากคลองพระองค์เจ้าฯ (บางน้ำเปรี้ยว),คลองพระองค์เจ้าไชยานุชิต,13.83819,100.9666,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BKK016,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Chachoengsao,Bang Nam Priao District,Bang Nam Priao,MSL
151,Bang Nam Priao,บางน้ำเปรี้ยว,แม่น้ำบางปะกง,13.87032,101.14574,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BPK003,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Chachoengsao,Bang Nam Priao District,Bang Khanak,MSL
1556820,Mae Suai Bridge,สะพานน้ำแม่สรวย,,19.72628,99.50745,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MOU167,tele_waterlevel,Friend in Need (of “Pa”) Volunteers Foundation,North Khong Basin,Chiang Rai,Mae Suai District,Wawi,MSL
156,Phanom Sarakham,พนมสารคาม,คลองท่าลาด,13.72662,101.35296,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BPK004,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Chachoengsao,Phanom Sarakham District,Ko Khanun,MSL
160,Prachinburi 2,เมืองปราจีนบุรี,แม่น้ำบางปะกง,14.053461,101.38684,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PRC002,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Prachin Buri,Mueang Prachin Buri District,Na Mueang,MSL
162,Prachinburi 1,กบินทร์บุรี,แม่น้ำบางปะกง,13.986616,101.70547,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PRC001,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Prachin Buri,Kabin Buri District,Kabin,MSL
1645475,Mae Ngao bridge,น้ำแม่งาว,,18.6275,100.04149,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),YOM017,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Yom Basin,Lampang,Ngao District,Mae Tip,MSL
165,Na Di,นาดี,แควหนุมาน,14.133586,101.72764,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PRC003,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Prachin Buri,Na Di District,Saphan Hin,MSL
1677418,Nam Ing Bridge (I.17),สะพานข้ามน้ำอิง (I.17),,19.16588,99.93439,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PYO005,tele_waterlevel,Hydro – Informatics Institute (Public Organization),North Khong Basin,Phayao,Dok Khamtai District,Dok Khamtai,MSL
1677419,Mae Tam Bridge,สะพานคลองแม่ต๋ำ,,19.09763,99.91642,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PYO006,tele_waterlevel,Hydro – Informatics Institute (Public Organization),North Khong Basin,Phayao,Mueang Phayao District,Mae Ka,MSL
1677420,Mae Kalong Bridge (Phayao University),สะพานคลองแม่กาหลง (ม.พะเยา),,19.0328,99.92907,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PYO007,tele_waterlevel,Hydro – Informatics Institute (Public Organization),North Khong Basin,Phayao,Mueang Phayao District,Mae Ka,MSL
169,Prachinburi 4,ประจันตคาม (KGT7A),คลองอินทร์ไตร,14.070925,101.51891,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PRC004,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Prachin Buri,Prachantakham District,Prachantakham,MSL
17,Chulachomklao Fortress,ป้อมพระจุลจอมเกล้า,คลองสรรพสามิต,13.573774,100.57399,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),GLF001,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Chao Phraya Basin,Samut Prakan,Phra Samut Chedi District,Laem Fa Pha,MSL
170,Prachinburi 5,ศรีมหาโพธิ (KGT6),แม่น้ำบางปะกง,13.97348,101.51751,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),PRC005,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Prachin Buri,Si Maha Phot District,Ban Tham,MSL
175,Khao Nang Buat Bridge,สะพานเขานางบวช,แม่น้ำนครนายก,14.245718,101.27481,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),NYK008,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Nakhon Nayok,Mueang Nakhon Nayok District,Si Nawa,MSL
189,Ongkharak,องครักษ์,แม่น้ำนครนายก,14.113638,101.019485,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),NYK000,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Nakhon Nayok,Ongkharak District,Ongkharak,MSL
191,Mueang Sa Kaeo,เมืองสระแก้ว,คลองพระสะทึง,13.809573,102.05431,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),SKE002,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Sa Kaeo,Mueang Sa Kaeo District,Sa Khwan,MSL
192,Ta Phraya,ตาพระยา,ห้วยยาง,14.051288,102.88541,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),TON001,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Tonle Sap Basin,Sa Kaeo,Ta Phraya District,Thap Sadet,MSL
200,Klong Prom Hod,คลองพรหมโหด,ห้วยพรมโหด,13.705885,102.48168,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),SKE003,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Tonle Sap Basin,Sa Kaeo,Aranyaprathet District,Ban Mai Nong Sai,MSL
21,Sri Varee Noi Temple,คลองจระเข้ใหญ่ บางเสาธง (วัดศรีวารีน้อย),คลองหัวตะเข้,13.66949,100.80058,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BKK017,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Bang Pakong Basin,Samut Prakan,Bang Sao Thong District,Sisa Chorakhe Yai,MSL
218,Mun 3,ชุมพวง,ลำปลายมาศ,15.286626,102.68456,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN003,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Nakhon Ratchasima,Chum Phuang District,Tha Lat,MSL
228,Mun 2,เฉลิมพระเกียรติ,แม่น้ำมูล,14.967956,102.237885,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN002,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Nakhon Ratchasima,Chaloem Phra Kiat District,Nong Yang,MSL
236,Mun 12,ประโคนชัย,ลำชี,14.633037,103.23046,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN012,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Buri Ram,Prakhon Chai District,Phaisan,MSL
238,Mun 14,สตึก,แม่น้ำมูล,15.299917,103.29234,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN014,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Buri Ram,Satuek District,Nikhom,MSL
24,Phra Pimol Sai Noi,คลองพระพิมล (ไทรน้อย),คลองพระพิมล,13.97396,100.31901,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),BKK018,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Chao Phraya Basin,Nonthaburi,Sai Noi District,Sai Noi,MSL
245,Mun 9,เมืองสุรินทร์,ลำชี,14.875494,103.37887,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN009,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Surin,Mueang Surin District,Trasaeng,MSL
