gauge_id,latitude,longitude
14I/02H,39.926,-8.126
05S/01H,41.38,-6.347
30G/10H,37.273,-8.37
30G/09H,37.242,-8.38
02H/02H,41.871,-8.204
30G/04H,37.27,-8.38
17N/01H,39.465,-7.306
30L/03H,37.276,-7.509
30L/01H,37.277,-7.508
06S/02H,41.298,-6.475
20E/01H,38.984,-8.808
31E/01H,37.155,-8.722
31K/03H,37.162,-7.699
03L/01H,41.678,-7.649
14H/01H,39.854,-8.22
30E/02H,37.202,-8.698
17F/01H,39.483,-8.546
25N/01H,38.092,-7.205
20I/03H,38.944,-8.105
04J/02H,41.653,-7.998
04J/07H,41.652,-7.997
09I/05H,40.759,-8.054
07I/05H,41.06999972,-8.10901809
07I/04H,41.073,-8.11
07I/01H,41.096,-8.028
20O/03H,38.843,-7.077
19D/03H,39.002,-8.94
07F/05H,41.139,-8.617
10J/01H,40.523,-7.971
10M/07H,40.535,-7.335
10M/06H,40.535,-7.335
19F/01H,39.124,-8.508
12H/04H,40.17258,-8.310591
07H/03H,41.06,-8.254
05G/02H,41.363,-8.435
07I/02H,41.085,-8.132
28K/03H,37.617,-7.683
30G/07H,37.232,-8.381
01H/03H,42.147,-8.203
12M/01H,40.283,-7.424
06M/05H,41.242,-7.392
06M/01H,41.242,-7.39
10P/02H,40.628,-6.907
10P/01H,40.628,-6.907
08J/02H,40.892,-7.933
08J/01H,40.891,-7.932
02E/02H,41.889,-8.786
09M/01H,40.669,-7.382
04J/03H,41.655,-7.981
30E/01H,37.326,-8.758
17G/08H,39.364,-8.489
03M/01H,41.736,-7.471
20B/02H,38.888,-9.328
H007H,-,-
12J/02H,40.17,-7.928
08O/03H,40.914,-7.102
08O/02H,40.915,-7.101
31J/01H,37.1,-7.903
21A/05H,38.802,-9.447
23E/02H,38.413,-8.67
17G/01H,39.471,-8.339
28F/01H,37.649,-8.62
15E/04H,39.698,-8.788
31H/01H,37.14,-8.188
18L/01H,39.269,-7.604
03H/04H,41.724,-8.298
07G/01H,41.071,-8.5
04J/04H,41.53,-7.851
03L/04H,41.709,-7.522
03L/02H,41.709,-7.522
30L/02H,37.18,-7.624
10H/01H,40.648,-8.283
31F/02H,37.149,-8.59
20M/01H,38.987,-7.461
