,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
0,평창군(송정교),Pyeongchanggun(Songjeonggyo),1001602,기후에너지환경부,한강,100108,2015-12-30,T/M,오대천,229.84,,,33.3,,강원특별자치도 평창군 진부면 하진부리 송정교,128-33-04,37-37-27 ,336935,459417,511.589,520.43,N,5.9,2015123010,2025111001,20151230,20251110,128.5511111111111,37.62416666666667,South Korea,WAMIS Open API
1,태백시(무사교),Taebaeksi(Musagyo),1001603,한국수자원공사,한강,100101,2005-05-01,T/M,,,,,,,강원특별자치도 태백시 상사미동 ,128-59-40,37-18-54 ,376803,425838,687.824,,N,3.8,2015080416,2025111001,20150803,20251109,128.99444444444444,37.315,South Korea,WAMIS Open API
2,송천1교,Song Cheon 1 Kyo,1001605,한국수력원자력,한강,100105,2013-11-30,T/M,송천,123.45,,,3.7,,강원특별자치도 평창군 대관령면 횡계리,128-42-35,37-40-05 ,350849,464532,724.782,731.705,N,,2013113000,2025111001,20131129,20251110,128.7097222222222,37.668055555555554,South Korea,WAMIS Open API
3,삼척시(번천교),Samcheoksi(Bunchungyo),1001607,한국수자원공사,한강,100101,2006-11-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 번천리 천375,128-59-47,37-21-52 ,376860,431330,718.848,,N,,2015080416,2025111001,20150803,20251109,128.99638888888887,37.364444444444445,South Korea,WAMIS Open API
4,삼척시(광동댐),Samcheoksi(Gwangdongdam),1001610,한국수자원공사,한강,100102,1989-01-01,T/M,골지천,125.0,,,25,,강원특별자치도 삼척시 하장면 숙암리 산104,128-56-50,37-20-37 ,372551,428926,,644.122,N,14.2,,,,,128.94722222222222,37.343611111111116,South Korea,WAMIS Open API
5,삼척시(광동교),Samcheoksi(Gwangdonggyo),1001613,한국수자원공사,한강,100102,2013-04-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 광동리 천261,128-56-56,37-20-91 ,372665,430594,,,N,5,2015080416,2025111001,20150803,20251109,128.9488888888889,37.35861111111112,South Korea,WAMIS Open API
6,삼척시(갈밭교),Samcheoksi(Galbatgyo),1001615,한국수자원공사,한강,100102,2005-05-01,T/M,,,,,,,강원특별자치도 삼척시 하장면 갈전리 천679-1000,128-54-50,37-22-18 ,369534,431980,,,N,5,2015080416,2025111001,20150803,20251109,128.9138888888889,37.37166666666667,South Korea,WAMIS Open API
7,정선군(송계교),Jeongseongun(Songgyegyo),1001620,기후에너지환경부,한강,100103,1962-07-01,T/M,임계천,161.07,160,160,3.14,17.4,강원특별자치도 정선군 임계면 봉산리 송계교,128-50-57,37-29-39 ,363534,445463,491.02,496.562,N,5,1972081902,2025111001,19621101,20251110,128.8491666666667,37.494166666666665,South Korea,WAMIS Open API
8,정선군(혈천교),Jeongseongun(Hyulcheongyo),1001622,기후에너지환경부,한강,100102,2010-11-11,T/M,골지천,285.96,,,26.73,,강원특별자치도 정선군 임계면 낙천리 혈천교,128-50-49,37-27-53 ,363401,442191,479.382,488.837,N,7,2010122112,2025111001,20101221,20251110,128.84694444444446,37.46472222222223,South Korea,WAMIS Open API
9,정선군(오장2교),Jeongseongun(Ojang2gyo),1001623,기후에너지환경부,한강,100106,2024-11-12,T/M,송천,244.6,,,10.14,,강원도 정선군 여량면 구절리 오장2교,128-44-16,37-31-53 ,353606,449407,443.247,454.759,N,9,2024122901,2025111001,20241229,20251110,128.73777777777775,37.53138888888889,South Korea,WAMIS Open API
10,정선군(송천교),Jeongseongun(Songcheongyo),1001625,기후에너지환경부,한강,100106,2007-07-18,T/M,송천,350.81,,,1.03,,강원특별자치도 정선군 여량면 유천리 송천교,128-43-07,37-29-08 ,352004,444289,374.685,383.167,N,6,2007051416,2025111001,20070514,20251110,128.7186111111111,37.48555555555556,South Korea,WAMIS Open API
11,정선군(제1여량교),Jeongseongun(Jeilyeoryanggyo),1001626,기후에너지환경부,한강,100107,2015-12-30,T/M,골지천,539.17,,,.66,,강원특별자치도 정선군 여량면 여량리 제1여량교,128-43-45,37-28-24 ,352963,442949,369.492,380.88,N,9,2015123010,2025111001,20151230,20251110,128.72916666666666,37.473333333333336,South Korea,WAMIS Open API
12,정선군(남평대교),Jeongseongun(Nampyeongdaegyo),1001629,기후에너지환경부,한강,100107,2015-12-30,T/M,한강,969.78,,,398.06,,강원특별자치도 정선군 북평면 남평리 남평대교,128-39-11,37-26-20 ,346297,439005,332.062,343.556,N,9,2015123010,2025111001,20151230,20251110,128.65305555555557,37.43888888888888,South Korea,WAMIS Open API
13,정선군(나전교),Jeongseongun(Najeongyo),1001630,기후에너지환경부,한강,100109,2007-07-18,T/M,오대천,451.62,,,.23,,강원특별자치도 정선군 북평면 북평리 나전교,128-38-59,37-26-19 ,346002,438969,333.208,344.183,N,8,2007051416,2025111001,20070514,20251110,128.6497222222222,37.43861111111111,South Korea,WAMIS Open API
14,정선3,Jeongseon3,1001640,기후에너지환경부,한강,100103,1967-12-01,보통,한강,,,,,0,강원특별자치도 정선군 정선읍 덕송리 ,128-40-00,37-24-00 ,347578,434709,,,N,8,,,19680101,19701231,128.66666666666666,37.4,South Korea,WAMIS Open API
15,정선군(각희교),Jeongseongun(Gakhuigyo),1001641,기후에너지환경부,한강,100110,2024-11-12,T/M,어천,88.38,,,30.15,,강원도 정선군 화암면 몰운리 각희교,128-48-52,37-18-30 ,360859,424776,522.577,529.066,N,5.7,2024122901,2025111001,20241229,20251110,128.81444444444446,37.30833333333333,South Korea,WAMIS Open API
16,정선군(와평교),Jeongseongun(Wahpyeonggyo),1001645,기후에너지환경부,한강,100111,2014-12-29,T/M,어천,226.69,,,2.66,,강원특별자치도 정선군 정선읍 신월리 와평교,128-41-03,37-21-58 ,349194,430975,313.547,323.495,N,6.5,2014122912,2025111001,20141229,20251110,128.68416666666667,37.36611111111111,South Korea,WAMIS Open API
17,정선1,Jeongseon1,1001647,기후에너지환경부,한강,100111,1918-01-01,보통,,,,,,0,강원특별자치도 정선군 정선읍 봉양리 ,128-41-00,37-22-00 ,349119,431036,,,,,1918070918,1964042007,19180101,19721231,128.68333333333334,37.36666666666667,South Korea,WAMIS Open API
18,정선군(애산교),Jeongseongun(Yaesangyo),1001649,기후에너지환경부,한강,100111,2007-12-09,T/M,어천,229.5,,,.19,,강원특별자치도 정선군 정선읍 애산리 애산교,128-40-15,37-22-24 ,347999,431756,300.915,310.073,N,6,2008020411,2025111001,20080204,20251110,128.67083333333332,37.373333333333335,South Korea,WAMIS Open API
19,정선군(삼거리교),Jeongseongun(Samgeorigyo),1001650,기후에너지환경부,한강,100113,2024-11-12,T/M,지장천,117.12,,,28.12,,강원도 정선군 남면 무릉리 삼거리교,128-46-42,37-15-14 ,357771,418672,477.886,487.616,N,6.8,2024122901,2025111001,20241229,20251110,128.77833333333334,37.25388888888889,South Korea,WAMIS Open API
20,정선군(정선제1교),Jeongseongun(Jeongseonje1gyo),1001655,기후에너지환경부,한강,100112,1918-01-01,T/M,한강,1693.07,340,270,381.32,108.6,강원특별자치도 정선군 정선읍 봉양리 정선제1교,128-39-26,37-22-42 ,346783,432290,296.789,312.418,N,12,1970070515,2025111001,19680101,20251110,128.65722222222223,37.37833333333333,South Korea,WAMIS Open API
21,정선군(광하교),Jeongseongun(Gwanghagyo),1001658,기후에너지환경부,한강,100112,2013-12-31,T/M,한강,1792.24,,,370.66,,강원특별자치도 정선군 정선읍 광하리 광하교,128-37-08,37-22-11 ,343404,431275,273.539,300.178,N,10,2013122711,2025111001,20131227,20251110,128.6188888888889,37.36972222222222,South Korea,WAMIS Open API
22,정선군(낙동교),Jeongseongun(Nakdonggyo),1001660,기후에너지환경부,한강,100114,2009-10-27,T/M,지장천,188.43,,,11.19,,강원특별자치도 정선군 남면 낙동리 낙동교,128-41-37,37-19-08 ,350125,425749,324.016,330.112,N,5,2009102700,2025111001,20091026,20251110,128.69361111111112,37.31888888888889,South Korea,WAMIS Open API
23,평창군(마하교),Pyeongchanggun(Mahagyo),1001665,기후에너지환경부,한강,100115,2024-11-12,T/M,창리천,97.0,,,.82,,강원도 평창군 미탄면 마하리 마하교,128-32-41,37-17-35 ,336973,422655,218.773,228.906,N,8.5,2024122901,2025111001,20241229,20251110,128.54472222222222,37.293055555555554,South Korea,WAMIS Open API
24,영월군(거운교),Yeongwolgun(Geoungyo),1001670,기후에너지환경부,한강,100117,1962-12-01,T/M,한강,2274.28,220,700,322.61,167.4,강원특별자치도 영월군 영월읍 거운리 거운교,128-30-44,37-14-05 ,334195,416134,196.936,211.941,N,12,1972081908,2025111001,19621101,20251110,128.51222222222222,37.234722222222224,South Korea,WAMIS Open API
25,영월2,Yeongweol 2,1001680,한국수자원공사,한강,100117,1985-08-30,T/M,한강,2283.2,,,311,0,강원특별자치도 영월군 영월읍 삼옥2,128-30-39,37-13-00 ,334103,414128,194.346,202.11,N,10,1984070301,2010051816,19860101,20100518,128.51083333333332,37.21666666666667,South Korea,WAMIS Open API
26,영월군(삼옥교),Yeongwolgun(Samokgyo),1001683,한국수자원공사,한강,100117,2008-03-28,T/M,한강,2447.9,,,323,,강원특별자치도  영월군 영월읍 삼옥리 삼옥교,128-30-37,37-12-26 ,334071,413079,189.914,203.818,N,11,2015070913,2025111001,20150709,20251109,128.5102777777778,37.20722222222223,South Korea,WAMIS Open API
27,영월군(영월대교),Yeongwolgun(Yeongwoldaegyo),1001690,기후에너지환경부,한강,100117,1917-06-01,T/M,한강,2436.08,260,2660,311.45,186.5,강원특별자치도 영월군 영월읍 덕포리 영월대교,128-28-31,37-10-55 ,331007,410224,183.205,198.45,N,12,1917090418,2025111001,19170615,20251110,128.4752777777778,37.18194444444444,South Korea,WAMIS Open API
28,영월군(신촌교),Yeongwolgun(Sinchongyo),1001695,기후에너지환경부,한강,100116,2024-11-12,T/M,석항천,107.98,,,5.75,,강원도 영월군 영월읍 연하리 신촌교,128-32-22,37-10-56 ,336705,410346,225.426,232.7,N,6,2024122901,2025111001,20241229,20251110,128.53944444444446,37.18222222222222,South Korea,WAMIS Open API
29,평창군(이목정교),Pyeongchanggun(Imokjeonggyo),1002605,기후에너지환경부,한강,100201,1982-04-01,T/M,속사천,56.55,,,13.49,0,강원특별자치도 평창군 용평면 이목정리 이목정교,128-28-19,37-37-17 ,329950,458996,590.873,598.566,N,4,1983060108,2025111001,19820101,20251110,128.47194444444446,37.62138888888889,South Korea,WAMIS Open API
30,평창군(장평교),Pyeongchanggun(Jangpyeonggyo),1002610,기후에너지환경부,한강,100201,1982-04-01,T/M,속사천,104.99,,,5.03,0,강원특별자치도 평창군 용평면 장평리 장평교,128-24-46,37-35-11 ,324785,455031,526.963,534.872,N,7,1983060201,2025111001,19820101,20251110,128.4127777777778,37.58638888888889,South Korea,WAMIS Open API
31,평창군(진전교),Pyeongchanggun(Jinjeongyo),1002615,기후에너지환경부,한강,100201,1982-04-01,T/M,흥정천,143.96,,,4.8,0,강원특별자치도 평창군 용평면 백옥포리 진전교,128-23-29,37-35-10 ,322896,454972,521.641,529.344,N,4,1983061006,2025111001,19810101,20251110,128.39138888888888,37.586111111111116,South Korea,WAMIS Open API
32,평창군(선애교),Pyeongchanggun(Sunaegyo),1002625,기후에너지환경부,한강,100202,1982-04-01,T/M,평창강,394.3,,,101.17,0,강원특별자치도 평창군 대화면 상안미리 선애교,128-24-36,37-28-28 ,324726,442602,385.387,395.077,N,8,1983060801,2025111001,19820101,20251110,128.41,37.474444444444444,South Korea,WAMIS Open API
33,평창군(바이오교),Pyeongchanggun(Biogyo),1002626,기후에너지환경부,한강,100203,2024-11-12,T/M,대화천,39.86,,,10.33,,강원도 평창군 대화면 대화리 바이오교,128-27-05,37-31-45 ,328293,448731,463.44,473.299,N,7,2024122901,2025111001,20241229,20251110,128.45138888888889,37.52916666666667,South Korea,WAMIS Open API
34,대화,,1002630,기후에너지환경부,한강,100203,1962-07-01,보통,평창강,394.8,,,101.5,44,강원특별자치도 평창군 대화면 상안미리 ,128-25-15,37-27-03 ,325724,439995,,383.814,N,8,1986071908,1986071916,19621107,19861231,128.42083333333332,37.450833333333335,South Korea,WAMIS Open API
35,평창군(사초교),Pyeongchanggun(Sachogyo),1002635,기후에너지환경부,한강,100203,1982-04-01,T/M,대화천,84.81,,,.77,0,강원특별자치도 평창군 대화면 하안미리 사초교,128-26-23,37-27-19 ,327387,440514,374.616,383.369,N,4,1983060708,2025111001,19820101,20251110,128.43972222222223,37.45527777777778,South Korea,WAMIS Open API
36,평창군(하방림교),Pyeongchanggun(Habangrimgyo),1002636,기후에너지환경부,한강,100204,2024-11-12,T/M,계촌천,85.98,,,1.52,,강원도 평창군 방림면 방림리 하방림교,128-22-25,37-25-51 ,321577,437713,366.978,375.439,N,6.4,2024122901,2025111001,20241229,20251110,128.37361111111113,37.43083333333333,South Korea,WAMIS Open API
37,평창군(상방림교),Pyeongchanggun(Sangbangrimgyo),1002640,기후에너지환경부,한강,100205,1982-04-01,T/M,평창강,528.49,,,93.77,0,강원특별자치도 평창군 방림면 방림리 상방림교,128-25-02,37-25-53 ,325436,437832,359.217,367.009,N,7,1983060807,2025111001,19820101,20251110,128.41722222222222,37.43138888888889,South Korea,WAMIS Open API
38,평창군(평창교),Pyeongchanggun(Pyeongchanggyo),1002650,기후에너지환경부,한강,100206,1958-01-01,T/M,,696.93,260,,70.87,75.1,강원특별자치도 평창군 평창읍 중리 평창교,128-24-22,37-22-04 ,324558,430757,288.472,297.799,N,8,1958090509,2025111001,19580101,20251110,128.40611111111113,37.367777777777775,South Korea,WAMIS Open API
39,영월군(판운교),Yeongwolgun(Panungyo),1002655,한국수자원공사,한강,100206,1992-07-06,T/M,평창강,806.8,,,47.2,0,강원특별자치도 영월군 주천면 판운리,128-20-38,37-17-48 ,319158,422784,240.893,252.59,N,8.5,1987060115,2025111001,19870601,20251109,128.3438888888889,37.29666666666667,South Korea,WAMIS Open API
40,횡성군(둔방내리),Hoengseonggun(Dunnbangnaeri),1002670,기후에너지환경부,한강,100207,2024-11-12,T/M,주천강,62.99,,,77.7,,강원도 횡성군 둔내면 둔방내리(둔내육교),128-12-56,37-30-53 ,307467,446832,482.348,491.733,N,7.8,2024122901,2025111001,20241229,20251110,128.21555555555554,37.514722222222225,South Korea,WAMIS Open API
41,횡성군(안흥교),Hoengseonggun(Anheunggyo),1002675,기후에너지환경부,한강,100208,2006-10-23,T/M,주천강,187.45,,,58.27,,강원특별자치도 횡성군 안흥면 안흥리 안흥교,128-09-18,37-24-44 ,302253,435388,414.303,424.277,N,7,2006120219,2025111001,20061202,20251110,128.155,37.41222222222222,South Korea,WAMIS Open API
42,영월군(두학교),Yeongwolgun(Duhackgyo),1002680,기후에너지환경부,한강,100209,2013-12-31,T/M,주천강,375.67,,,33.51,,강원특별자치도 영월군 수주면 두산리 두학교,128-11-33,37-17-47 ,305735,422573,306.256,316.429,N,7,2013122711,2025111001,20131227,20251110,128.1925,37.296388888888885,South Korea,WAMIS Open API
43,영월군(주천교),Yeongwolgun(Jucheongyo),1002685,기후에너지환경부,한강,100210,1962-07-01,T/M,,533.75,140,660,14.53,72,강원특별자치도 영월군 주천면 신일리 주천교,128-15-57,37-16-03 ,312280,419451,240.555,248.851,N,8,1965071008,2025111001,19621101,20251110,128.26583333333335,37.2675,South Korea,WAMIS Open API
44,영월군(신천교),Yeongwolgun(Sincheongyo),1002687,기후에너지환경부,한강,100210,2007-07-18,T/M,,599.66,,,.96,,강원특별자치도 영월군 한반도면 신천리 신천교,128-19-54,37-13-47 ,318179,415338,211.492,223.538,N,10,2007051416,2025111001,20070514,20251110,128.33166666666665,37.22972222222222,South Korea,WAMIS Open API
45,후포,,1002690,기후에너지환경부,한강,100216,1962-07-01,보통,주천강,1606.2,,650,18.8,137.5,강원특별자치도 영월군 남면 북쌍리 ,128-19-00,37-13-00 ,316868,413871,193.466,205.594,N,12,1964041914,1986072000,19621114,19861231,128.31666666666666,37.21666666666667,South Korea,WAMIS Open API
46,영월군(화병교),Yeongwolgun(Hwabyeonggyo),1002691,기후에너지환경부,한강,100213,2024-11-12,T/M,,1580.85,,,19.61,,강원도 영월군 한반도면 후탄리 화병교,128-22-29,37-12-55 ,322024,413790,195.757,213.725,N,12,2024122901,2025111001,20241229,20251110,128.37472222222223,37.21527777777778,South Korea,WAMIS Open API
47,영월군(농공단지교),Yeongwolgun(Nonggongdanjigyo),1002693,기후에너지환경부,한강,100212,2023-01-27,T/M,문곡천,85.35,,,2.54,,강원특별자치도 영월군 북면 문곡리 농공단지교,128-25-21,37-13-28 ,326249,414870,199.577,207.5,N,8,2023012716,2025111001,20230127,20251110,128.42249999999999,37.224444444444444,South Korea,WAMIS Open API
48,영월군(연당교),Yeongwolgun(Yeondanggyo),1002694,한국수자원공사,한강,100213,2020-12-31,T/M,,1611.7,,,13.7,,강원특별자치도 영월군 남면 북쌍리 263-3 연당교,128-24-09,37-11-48 ,324520,411760,191.95,208.51,N,,,,,,128.4025,37.196666666666665,South Korea,WAMIS Open API
49,영월군(북쌍리),Yeongwolgun(Bukssangri),1002695,한국수자원공사,한강,100213,1985-08-30,T/M,평창강,1615.8,,,13.5,0,강원특별자치도 영월군 남면 연당리,128-24-33,37-11-39 ,325116,411492,192.189,208.61,N,10,1975071004,2024121209,19860101,20241211,128.40916666666666,37.19416666666666,South Korea,WAMIS Open API
50,영월군(팔괴교),Yeongwolgun(Palgoegyo),1002698,기후에너지환경부,한강,100213,2007-07-18,T/M,평창강,1766.97,,,1.09,,강원특별자치도 영월군 영월읍 하송리 팔괴교,128-27-19,37-10-19 ,329248,409087,181.215,199.979,N,15,2007033013,2025111001,20070330,20251110,128.45527777777778,37.17194444444444,South Korea,WAMIS Open API
51,영월군(내리2교),Yeongwolgun(Naeri2gyo),1003603,기후에너지환경부,한강,100304,2024-11-12,T/M,내리천,88.42,,,.86,,강원도 영월군 김삿갓면 내리 내리2교,128-40-31,37-06-25 ,348916,402195,255.18,261.042,N,4.9,2024122901,2025111001,20241229,20251110,128.67527777777778,37.106944444444444,South Korea,WAMIS Open API
52,영월군(충혼교),Yeongwolgun(chunghongyo),1003605,기후에너지환경부,한강,100303,2016-11-07,T/M,옥동천,229.6,,,20.22,,강원특별자치도 영월군 중동면 녹전리 충혼교,128-40-51,37-08-32 ,349341,406119,269.682,278.112,N,7.3,2016110901,2025111001,20161109,20251110,128.6808333333333,37.14222222222222,South Korea,WAMIS Open API
53,영월군(옥동교),Yeongwolgun(Okdonggyo),1003620,기후에너지환경부,한강,100305,2000-03-01,T/M,옥동천,483.67,,,4.01,0,강원특별자치도 영월군 김삿갓면 옥동리 옥동교,128-33-51,37-07-20 ,339011,403722,183.969,193.731,N,9,2002072208,2025111001,20020722,20251110,128.56416666666667,37.12222222222222,South Korea,WAMIS Open API
54,영월군(각동교),Yeongwolgun(Gakdonggyo),1003625,기후에너지환경부,한강,100306,2024-11-12,T/M,한강,4252.24,,,298.92,,강원도 영월군 김삿갓면 각동리 각동교,128-32-25,37-07-14 ,336890,403503,165.335,185.416,N,14.9,2024122901,2025111001,20241229,20251110,128.5402777777778,37.120555555555555,South Korea,WAMIS Open API
55,단양군(들골교),Danyangun(Deulgolgyo),1003626,기후에너지환경부,한강,100308,2024-11-14,T/M,대가리천,42.88,,,2.17,,충청북도 단양군 매포읍 평동리 들골교,128-17-47,37-01-58 ,315347,393437,155.052,161.616,N,5,2024122901,2025111001,20241229,20251110,128.29638888888888,37.032777777777774,South Korea,WAMIS Open API
56,단양군(오사리),Danyanggun(Osari),1003630,한국수자원공사,한강,100306,1985-08-30,T/M,한강,4690.0,,,296.2,0,충청북도 단양군 영춘면 오사리,128-30-39,37-05-55 ,334312,401025,159.971,177.63,N,18,1984070301,2024121209,19860101,20241211,128.51083333333332,37.09861111111111,South Korea,WAMIS Open API
57,단양군(북벽교),Danyanggun(Bukbyeokgyo),1003632,한국수자원공사,한강,100306,2020-12-31,T/M,,4819.1,,,292.7,,충청북도 단양군 영춘면 상리 517-2 북벽교,128-29-07,37-05-08 ,332063,399540,155.72,174.67,N,,2024121110,2025111001,20241210,20251109,128.48527777777775,37.08555555555556,South Korea,WAMIS Open API
58,가대교,,1003635,한국수자원공사,한강,100307,2007-12-01,T/M,,,,,,,충청북도 단양군 가곡면 가대리 154-1 도,128-24-29,37-02-10 ,325278,393948,,,N,,2015080415,2018061111,20150803,20180613,128.40805555555556,37.03611111111111,South Korea,WAMIS Open API
59,단양군(가대교),Danyanggun(gadaegyo),1003636,기후에너지환경부,한강,100307,2016-11-07,T/M,한강,4971.62,,,277.15,,충청북도 단양군 가곡면 가대리 가대교,128-24-20,37-02-25 ,325048,394407,139.454,157.014,N,17.5,2016110901,2025111001,20161109,20251110,128.40555555555557,37.040277777777774,South Korea,WAMIS Open API
60,단양2,,1003640,기후에너지환경부,한강,100314,1966-11-01,보통,한강,,,,,0,충청북도 단양군 가곡면 사평리 ,128-23-00,37-01-00 ,323109,391757,137.12,,N,8,,,,,128.38333333333333,37.016666666666666,South Korea,WAMIS Open API
61,단양군(덕천교),Danyanggun(Dukcheongyo),1003642,기후에너지환경부,한강,100310,2010-11-11,T/M,한강,5088.49,,,272.81,,충청북도 단양군 가곡면 덕천리 덕천교,128-23-21,37-00-20 ,323646,390532,135.027,160.795,N,15,2010122112,2025111001,20101221,20251110,128.38916666666665,37.00555555555555,South Korea,WAMIS Open API
62,상진교,,1003644,한국수자원공사,한강,100310,2007-12-01,T/M,,,,,,,충청북도 단양군 단양읍 상진리 산22-23 도,128-20-51,36-58-40 ,319981,387396,,,N,,2015080415,2025111001,20150803,20251109,128.3475,36.97777777777778,South Korea,WAMIS Open API
63,단양군(단양1교),Danyanggun(danyang1gyo),1003645,기후에너지환경부,한강,100309,2016-11-07,T/M,죽령천,129.76,,,3.2,,충청북도 단양군 단성면 북하리 단양1교,128-20-08,36-55-52 ,318990,382201,140.903,147.763,N,4.8,2009102700,2025111001,20161109,20251110,128.33555555555557,36.93111111111111,South Korea,WAMIS Open API
64,우화교,,1003646,한국수자원공사,한강,100311,2007-12-01,T/M,,,,,,,충청북도 단양군 단성면 상방리 71-7 전,128-19-16,36-55-50 ,317704,382122,,,N,,2015080415,2025111001,20150803,20251109,128.3211111111111,36.93055555555555,South Korea,WAMIS Open API
65,단양1,,1003650,기후에너지환경부,한강,100314,1917-06-01,보통,한강,5022.6,,220,272.6,215.6,충청북도 단양군 단양읍 외중만리 ,128-17-00,36-55-00 ,314359,380534,112.709,130.935,N,14,1917070405,1983080221,19170611,19831231,128.28333333333333,36.916666666666664,South Korea,WAMIS Open API
66,제천시(덕동교),Jecheonsi(Deokdonggyo),1003652,기후에너지환경부,한강,100316,2024-11-14,T/M,운학천,30.95,,,.16,,충청북도 제천시 백운면 덕동리 덕동교,127-59-33,37-11-18 ,288127,410375,264.56,271.952,N,5,2024122901,2025111001,20241229,20251110,127.9925,37.18833333333333,South Korea,WAMIS Open API
67,제천시(송계교),Jecheonsi(Songgyegyo),1003654,기후에너지환경부,한강,100318,2024-11-14,T/M,동달천,48.17,,,3.06,,충청북도 제천시 한수면 송계리 송계교,128-04-42,36-52-56 ,296134,376485,158.201,164.815,N,5,2024122901,2025111001,20241229,20251110,128.07833333333332,36.882222222222225,South Korea,WAMIS Open API
68,제천시(물태리),Jecheonsi(Multaeri),1003655,한국수자원공사,한강,100319,1992-06-18,T/M,한강,887.8,,,239.2,0,충청북도 제천시 청풍면 물태리,128-09-57,36-59-38 ,303783,388970,,145.28,N,27,1987060115,2025111001,19870601,20251109,128.16583333333335,36.99388888888889,South Korea,WAMIS Open API
69,제천시(강저3교),Jecheonsi(Gangjeo3gyo),1003657,기후에너지환경부,한강,100314,2022-04-01,T/M,장평천,53.1,,,9.5,,충청북도 제천시 강제동 강저3교,128-12-14,37-07-22 ,306990,403317,227.634,235.672,N,6,2022040101,2025111001,20220401,20251110,128.20388888888888,37.12277777777778,South Korea,WAMIS Open API
70,제천시(부수동교),Jecheonsi(Busudonggyo),1003658,기후에너지환경부,한강,100316,2016-11-07,T/M,원서천,99.21,,,10.81,,충청북도 제천시 백운면 방학리 부수동교,128-00-32,37-08-55 ,289629,405982,219.627,226.328,N,5.7,2016110901,2025111001,20161109,20251110,128.0088888888889,37.14861111111111,South Korea,WAMIS Open API
71,제천시(팔송교),Jecheonsi(Palsonggyo),1003660,기후에너지환경부,한강,100313,2014-12-29,T/M,제천천,145.97,,,43.48,,충청북도 제천시 봉양읍 팔송리 팔송교,128-07-11,37-08-50 ,299478,405939,214.71,220.593,N,6,2014122912,2025111001,20141229,20251110,128.11972222222224,37.14722222222222,South Korea,WAMIS Open API
72,제천시(구곡교),Jecheongun(Gugokgyo),1003661,기후에너지환경부,한강,100315,2015-12-30,T/M,제천천,287.26,,,58.34,,충청북도 제천시 봉양읍 구곡리 구곡교,128-06-22,37-06-44 ,298314,402040,185.267,193.67,N,7,2015123010,2025111001,20151230,20251110,128.10611111111112,37.11222222222222,South Korea,WAMIS Open API
73,명서교,,1003662,한국수자원공사,한강,100319,2005-07-01,T/M,,,,,,,충청북도 충주시 산척면 명서리 484-3,128-01-57,37-04-04 ,291824,397034,,,N,,2015080415,2025111001,20150803,20251109,128.03250000000003,37.06777777777778,South Korea,WAMIS Open API
74,충주본댐우안,ChungJuBonDamRight,1003664,한국수자원공사,한강,100319,1985-08-30,T/M,한강,6648.0,,,209.2,,충청북도 충주시 동량면 조동리 산 180-4,127-59-47,37-00-13 ,288687,389878,,147.81,N,56,2008020411,2025111001,20080204,20251109,127.99638888888889,37.00361111111111,South Korea,WAMIS Open API
75,충주시(충주댐방수로),Chungjusi(Chungjudambangsuro),1003665,한국수자원공사,한강,100320,1985-08-30,T/M,한강,6648.0,,,193.4,0,충청북도 충주시 동량면 조동리 산 180-4(충주댐 방수로 지점),127-59-20,37-00-29 ,288015,390364,0.0,84.302,N,83,1923091109,2015071515,19870601,20150715,127.9888888888889,37.00805555555556,South Korea,WAMIS Open API
76,충주시(충주댐),Chungjusi(Chungjudam),1003666,한국수자원공사,한강,100320,1985-08-30,T/M,한강,6648.0,,,209.2,,충청북도 충주시 동량면 조동리 산 180-4,127-59-31,37-00-20 ,288289,390090,0.0,148.058,N,147,1985081500,2015071515,19970101,20150715,127.99194444444444,37.00555555555555,South Korea,WAMIS Open API
77,제천시(용암교),Jecheonsi(Yongamgyo),1003667,기후에너지환경부,한강,100317,2024-11-14,T/M,성천,36.34,,,4.58,,충청북도 제천시 덕산면 신현리 용암교,128-08-24,36-55-41 ,301571,381636,226.251,233.015,N,5,2024122901,2025111001,20241229,20251110,128.14,36.92805555555555,South Korea,WAMIS Open API
78,월악,WeolAk,1003668,한국수자원공사,한강,100319,2001-09-10,T/M,한강,619.0,,,223.5,,충청북도 제천시 한수면 탄지리 74-6,128-04-22,36-54-41 ,295602,379717,,130.617,N,10,2015070913,2015091118,20150709,20160107,128.0727777777778,36.91138888888889,South Korea,WAMIS Open API
79,충주2,,1003670,기후에너지환경부,한강,100300,1966-11-01,보통,한강,6657.3,,300,197.3,290.9,충청북도 충주시 동량면 응교리 ,127-58-00,37-00-00 ,286046,389450,62.031,73.478,N,8,1918070923,1981090416,19661121,19831231,127.96666666666667,37.0,South Korea,WAMIS Open API
80,충주1,Chungju Dam Outlet,1003680,기후에너지환경부,한강,100320,1917-06-01,보통,한강,6648.0,,,201.2,0,충청북도 충주시 금가면 문산리 ,127-55-00,37-00-00 ,281595,389406,221.0,227.1,N,83,,,,,127.91666666666667,37.0,South Korea,WAMIS Open API
