,gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
1090,3302643,Jeongeupsi(Sangdonggyo),정읍천,35.55472222222222,126.86916666666666,45.7,44.31,Korea,WAMIS Open API
1091,3302645,Jeongeupsi(Jukrimgyo),정읍천,35.56777777777778,126.8436111111111,27.29,50.49,Korea,WAMIS Open API
1092,3302650,Yongsan,용산천,35.51166666666666,126.85444444444444,74.0,,Korea,WAMIS Open API
1093,3302652,Jeongupsi(Sangpyeonggyo),천원천,35.56166666666666,126.82333333333332,22.96,72.78,Korea,WAMIS Open API
1094,3302653,Jeongeupsi(Jeongeupgyo),정읍천,35.586111111111116,126.82916666666667,15.169,131.75,Korea,WAMIS Open API
1095,3302654,Jeongupsi(Mangdamgyo),한교천,35.62861111111111,126.87138888888889,7.61,31.66,Korea,WAMIS Open API
1096,3302655,Jeongeupsi(Jeongeupcheondaegyo),정읍천,35.63861111111111,126.86444444444444,3.09,157.63,Korea,WAMIS Open API
1097,3302656,Jeongeupsi(Gobucheongyo),고부천,35.61611111111111,126.73722222222223,1.24,121.51,Korea,WAMIS Open API
1098,3302657,Jeongeupsi(Pungwolgyo),고부천,35.64555555555555,126.74916666666667,-0.123,169.43,Korea,WAMIS Open API
1099,3302658,Jeongeupsi(Chogangri),정읍천,35.644444444444446,126.86277777777777,2.975,196.99,Korea,WAMIS Open API
1100,3302660,Jeongeupsi(Yangjeongyo),원평천,35.74722222222222,126.9075,1.792,141.93,Korea,WAMIS Open API
1101,3302661,Geum Pyeong,,35.71805555555556,127.01361111111112,,25.71,Korea,WAMIS Open API
1102,3302665,Gimjesi(Gunpogyo),동진강,35.717777777777776,126.8175,-1.052,493.93,Korea,WAMIS Open API
1103,3302675,Buangun(Pyeonggyo),고부천,35.705555555555556,126.7825,-0.872,240.03,Korea,WAMIS Open API
1104,3302680,Gimjesi(Yongdonggyo) ,두월천,35.788888888888884,126.90555555555557,2.395,79.0,Korea,WAMIS Open API
1105,3302685,Gimjesi(Juksangyo),원평천,35.766666666666666,126.81222222222222,-2.098,257.33,Korea,WAMIS Open API
1106,3302690,Dongjindaegyo,동진강,35.7575,126.77722222222222,-1.974,,Korea,WAMIS Open API
1107,3303110,BUANDAM,직소천,35.67861111111111,126.57166666666666,0.0,0.0,Korea,WAMIS Open API
1108,3303660,Buangun(Geoseokgyo),,35.655833333333334,126.61305555555555,46.405,,Korea,WAMIS Open API
1109,3303670,GangJin,직소천,35.675,126.56,49.0,59.0,Korea,WAMIS Open API
1110,4001605,Jinangun(Maryeonggyo),섬진강,35.72972222222222,127.36527777777778,268.96,4896.5,Korea,WAMIS Open API
1111,4001610,Jinangun(Jwapogyo),섬진강,35.736666666666665,127.31833333333333,243.631,190.37,Korea,WAMIS Open API
1112,4001613,Imsilgun(Jucheongyo),섬진강,35.678888888888885,127.27694444444444,213.23,275.42,Korea,WAMIS Open API
1113,4001617,Imsilgun(Mudeungje1kyo),임실천,35.60722222222223,127.27361111111111,229.5,51.1,Korea,WAMIS Open API
1114,4001620,Imsilgun(Hoamgyo),,35.655277777777776,127.24083333333333,201.064,364.3,Korea,WAMIS Open API
1115,4001628,Imsilgun(Imungyo),,35.611111111111114,127.20472222222223,204.221,,Korea,WAMIS Open API
1116,4001660,Sunchanggun(Unamgyo),추령천,35.50361111111111,127.01388888888889,217.445,134.0,Korea,WAMIS Open API
1117,4002605,Imsilgun(Seomjingangdam),섬진강,35.54083333333333,127.10972222222222,0.0,763.0,Korea,WAMIS Open API
1118,4002610,Imsilgun(Hoemunri),섬진강,35.52166666666667,127.13777777777779,123.952,776.0,Korea,WAMIS Open API
1119,4002613,Imsilgun(Neodarigyo),갈담천,35.56722222222223,127.20333333333333,152.97,17.46,Korea,WAMIS Open API
1120,4002620,Imsilgun(Gangdonggyo),갈담천,35.52777777777778,127.16027777777778,125.355,66.3,Korea,WAMIS Open API
1121,4002640,Imsil(Iljungri),섬진강,35.49638888888889,127.15,114.547,854.87,Korea,WAMIS Open API
1122,4002660,Imsilgun(Iljungsaemaeulgyo),치천,35.48583333333333,127.14416666666668,121.35,86.15,Korea,WAMIS Open API
1123,4002690,Sunchanggun(Pyeongnamri),섬진강,35.42361111111111,127.21583333333334,78.264,998.97,Korea,WAMIS Open API
1124,4003615,Jangnam,,35.56194444444444,127.4175,,22.8,Korea,WAMIS Open API
1125,4003630,Imsilgun(Osugyo),둔남천,35.541666666666664,127.32472222222222,117.1,74.25,Korea,WAMIS Open API
1126,4003650,Imsilgun(Singigyo),,35.507777777777775,127.32472222222222,107.995,160.61,Korea,WAMIS Open API
1127,4003690,Sunchanggun(Hyunpori),,35.43944444444444,127.24527777777777,84.353,357.66,Korea,WAMIS Open API
1128,4004615,Sunchanggun(Yujeokgyo),섬진강,35.39277777777778,127.20916666666668,72.685,1389.45,Korea,WAMIS Open API
1129,4004630,Sunchanggun(Okcheongyo),경천,35.374722222222225,127.13333333333334,84.92,44.33,Korea,WAMIS Open API
1130,4004640,Sunchanggun(Yupunggyo),경천,35.35916666666667,127.18444444444445,69.021,132.33,Korea,WAMIS Open API
1131,4004650,Gokseonggun(hapganggyo),옥과천,35.32194444444445,127.18055555555556,64.826,131.04,Korea,WAMIS Open API
1132,4004660,Namwonsi(Sindeokri),섬진강,35.331388888888895,127.21638888888889,58.88,1756.44,Korea,WAMIS Open API
1133,4004680,Gokseonggun(Yongdugyo),옥과천,35.271388888888886,127.13527777777779,81.62,53.68,Korea,WAMIS Open API
1134,4004690,Gokseonggun(geumgokgyo),섬진강,35.311388888888885,127.29583333333333,46.688,1795.71,Korea,WAMIS Open API
1135,4005620,JANG NAM,,35.558611111111105,126.78,370.0,,Korea,WAMIS Open API
1136,4005624,Yongrim,,35.60888888888889,127.55166666666666,,15.2,Korea,WAMIS Open API
1137,4005627,Jangsugun(Donghwajeosuji),백운천,35.54555555555555,127.53861111111111,0.0,58.8,Korea,WAMIS Open API
1138,4005628,Donghwa,,35.545833333333334,127.53805555555556,,58.8,Korea,WAMIS Open API
1139,4005630,Donghwa,요천,35.54388888888889,127.535,279.0,,Korea,WAMIS Open API
1140,4005633,Jangsugun(Beonamgyo),요천,35.532777777777774,127.545,242.92,128.66,Korea,WAMIS Open API
1141,4005645,Namwonsi(Wolseokgyo),요천,35.49777777777778,127.51444444444445,193.531,167.35,Korea,WAMIS Open API
1142,4005660,Namwonsi(Yocheongyo),요천,35.45527777777778,127.43611111111112,131.877,221.35,Korea,WAMIS Open API
1143,4005670,Namwonsi(Dongrimgyo),요천,35.40861111111111,127.3913888888889,93.853,317.09,Korea,WAMIS Open API
1144,4005675,Namwonsi(Guamgyo),광치천,35.420833333333334,127.3863888888889,100.75,13.55,Korea,WAMIS Open API
1145,4005690,Namwonsi(Yocheondaegyo),요천,35.31888888888889,127.31138888888889,48.672,472.81,Korea,WAMIS Open API
1146,4006660,Gokseonggun(Godalgyo),섬진강,35.29472222222222,127.32972222222222,43.681,2333.05,Korea,WAMIS Open API
1147,4006667,Gokseonggun(Chunguigyo),곡성천,35.278055555555554,127.29777777777778,51.94,25.28,Korea,WAMIS Open API
1148,4006680,Gokseonggun(Yeseonggyo),섬진강,35.198611111111106,127.37416666666665,27.38,2474.03,Korea,WAMIS Open API
1149,4007610,Boseonggun(Duseulkyo),봉화천,34.763888888888886,127.09555555555555,133.18,32.9,Korea,WAMIS Open API
1150,4007615,Juk Dong Kyo,보성강,34.79277777777778,127.00138888888888,143.22,246.5,Korea,WAMIS Open API
1151,4007616,Boseonggun(Dondagyo),보성강,34.79194444444444,127.03027777777778,135.168,159.38,Korea,WAMIS Open API
1152,4007618,Bo Seong Kyo,봉화천,34.77055555555555,127.09444444444443,137.783,35.92,Korea,WAMIS Open API
1153,4007620,,,34.794999999999995,127.0736111111111,127.3,198.7,Korea,WAMIS Open API
1154,4007623,BosunggangDam,보성강,34.78388888888889,127.1538888888889,,275.0,Korea,WAMIS Open API
1155,4007625,Boseonggun(Boseonggangdam),보성강,34.805277777777775,127.14500000000001,0.0,275.0,Korea,WAMIS Open API
1156,4007630,Boseonggun(Gajanggyo),보성강,34.83111111111111,127.14750000000001,111.25,298.1,Korea,WAMIS Open API
1157,4007660,Hwasungun(Dongbokdam),동복천,35.0825,127.10249999999999,0.0,189.0,Korea,WAMIS Open API
1158,4007661,Hwasungun(Mansugyo),동복천,35.07833333333333,127.10277777777777,129.449,192.63,Korea,WAMIS Open API
1159,4007670,Hwasungun(Yongrigyo),동복천,35.026666666666664,127.11361111111111,115.51,267.3,Korea,WAMIS Open API
1160,4007695,Suncheonsi(Juamdam),보성강,35.06166666666666,127.23694444444445,0.0,1010.0,Korea,WAMIS Open API
1161,4008603,Gokseonggun(Amnok3gyo),,35.18888888888888,127.3711111111111,28.06,,Korea,WAMIS Open API
1162,4008650,Suncheonsi(Gwangcheongyo),보성강,35.075833333333335,127.23694444444445,61.311,1012.0,Korea,WAMIS Open API
1163,4008655,Gokseonggun(Moksadong2gyo),보성강,35.126666666666665,127.25888888888889,0.0,,Korea,WAMIS Open API
1164,4008660,Gokseonggun(Moksadong1gyo),보성강,35.12777777777778,127.29888888888888,47.115,1193.48,Korea,WAMIS Open API
1165,4008661,Dong Sang,,35.11805555555556,127.27416666666666,,89.84,Korea,WAMIS Open API
1166,4008670,Gokseonggun(Taeangyo),보성강,35.16027777777778,127.34666666666666,37.625,1273.61,Korea,WAMIS Open API
1167,4009601,Suncheonsi(Keomok3kyo),황전천,35.10333333333333,127.43111111111112,64.37,132.28,Korea,WAMIS Open API
1168,4009608,Suncheonsi(Yongseogyo),황전천,35.14944444444444,127.46333333333334,25.941,128.73,Korea,WAMIS Open API
1169,4009610,Guryegun(Guryegyo),섬진강,35.16555555555556,127.45416666666667,21.937,3827.8,Korea,WAMIS Open API
1170,4009618,Guryegun(Muncheokgyo),섬진강,35.19638888888888,127.47444444444444,19.03,3977.23,Korea,WAMIS Open API
1171,4009622,Guryegun(Gwangyonggyo),서시천,35.25805555555556,127.4413888888889,44.886,106.82,Korea,WAMIS Open API
1172,4009625,Guryegun(Seosigyo),서시천,35.211111111111116,127.47472222222223,20.367,148.56,Korea,WAMIS Open API
1173,4009628,Hyogok,,35.132222222222225,127.53888888888889,,12.0,Korea,WAMIS Open API
1174,4009629,Guryegun(Ganmungyo),간문천,35.18055555555555,127.53972222222222,24.2,38.83,Korea,WAMIS Open API
1175,4009630,Guryegun(Songjeongri),섬진강,35.19222222222222,127.5586111111111,6.217,4274.9,Korea,WAMIS Open API
1176,4009635,Hadonggun(Hwaranggyo),화개천,35.24916666666667,127.6413888888889,119.68,83.53,Korea,WAMIS Open API
1177,4009638,Hadonggun(Gatangyo),화개천,35.20027777777778,127.63277777777778,20.947,112.16,Korea,WAMIS Open API
1178,4009640,Gwangyangsi(Namdodaegyo),섬진강,35.18083333333333,127.6261111111111,4.067,4478.64,Korea,WAMIS Open API
1179,4009650,Gwangyangsi(Gosari),섬진강,35.135,127.68583333333333,0.964,4531.05,Korea,WAMIS Open API
1180,4009665,Hadonggun(Eupnaeri),섬진강,35.06666666666666,127.74027777777778,-6.163,4621.07,Korea,WAMIS Open API
1181,4009668,Hadong,,35.16361111111111,127.78472222222221,,58.5,Korea,WAMIS Open API
1182,4009669,Hadonggun(Damgokgyo),횡천강,35.12166666666667,127.80916666666667,29.98,78.48,Korea,WAMIS Open API
1183,4009670,Hadonggun(Daeseokgyo),횡천강,35.05916666666666,127.78361111111111,2.052,148.98,Korea,WAMIS Open API
1184,4101620,Gangjingun(Hangmyeonggyo),강진천,34.63111111111111,126.75916666666667,3.77,29.05,Korea,WAMIS Open API
1185,4102650,Wandogun(Daemungyo),군외천,34.37305555555555,126.64527777777778,1.87,6.94,Korea,WAMIS Open API
1186,4104603,Suncheonsi(Songjeongyo),이사천,35.00472222222222,127.38138888888888,159.97,60.1,Korea,WAMIS Open API
1187,4104610,Suncheonsi(Nodonggyo),이사천,34.95388888888889,127.3786111111111,0.0,101.3,Korea,WAMIS Open API
1188,4104620,Suncheonsi(Juamjojeoljidam),이사천,34.94583333333333,127.42,0.0,134.6,Korea,WAMIS Open API
1189,4104625,Suncheonsi(Juamjojeoljibangsuro),이사천,34.945277777777775,127.42555555555556,0.0,134.6,Korea,WAMIS Open API
1190,4104640,Suncheonsi(Jukpyeonggyo),순천서천,34.99861111111111,127.48916666666666,26.128,34.5,Korea,WAMIS Open API
1191,4104655,Suncheonsi(Juamjojeoljijojeongjidam),이사천,34.946666666666665,127.4388888888889,0.0,139.7,Korea,WAMIS Open API
1192,4104665,Suncheonsi(Nodimokgyo),이사천,34.940555555555555,127.45333333333333,9.024,142.36,Korea,WAMIS Open API
1193,4104675,Boseonggun(Bongnimgyo),벌교천,34.85138888888889,127.33583333333333,0.03,28.9,Korea,WAMIS Open API
1194,4104680,Suncheonsi(Dongcheongyo),,34.930277777777775,127.50277777777778,2.76,133.88,Korea,WAMIS Open API
1195,4104685,Suncheonsi(Yeondonggyo),이사천,34.916666666666664,127.4875,2.905,187.64,Korea,WAMIS Open API
1196,4104690,Goheunggun(Bonghwang2gyo),고흥천,34.608333333333334,127.28833333333333,22.25,15.46,Korea,WAMIS Open API
1197,4105210,SUUHDAM,수어천,35.029444444444444,127.72055555555556,0.0,0.0,Korea,WAMIS Open API
1198,4105610,Gwangyangsi(Sinhwanggyo),수어천,35.05333333333333,127.68861111111111,70.651,23.59,Korea,WAMIS Open API
1199,4105625,Gwangyangsi(Seonghwang4gyo),성황천,34.93611111111111,127.68055555555556,2.04,8.51,Korea,WAMIS Open API
1200,4105630,Gwangyangsi(Seosangyo),광양서천,34.967777777777776,127.58,6.784,72.83,Korea,WAMIS Open API
1201,4105633,Gwangyangsi(Gaehyeongyo),광양동천,35.044444444444444,127.61611111111111,74.76,28.04,Korea,WAMIS Open API
1202,4105640,Gwangyangsi(Yongganggyo),광양동천,34.974722222222226,127.60194444444444,4.537,73.26,Korea,WAMIS Open API
1203,4105660,SuYeoDam,수어천,35.0325,127.71666666666667,69.121,264.8,Korea,WAMIS Open API
1204,4105665,Gwangyangsi(Jiwongyo),수어천,35.0125,127.72555555555556,0.685,0.0,Korea,WAMIS Open API
1205,4105670,Gwangyangsi(Sueocheongyo),수어천,34.98527777777778,127.71666666666667,-3.215,0.0,Korea,WAMIS Open API
1206,4105694,Yeosusi(Yeondeung5gyo),연등천,34.755833333333335,127.7225,16.53,17.07,Korea,WAMIS Open API
1207,5001610,Damyanggun(Damyangdam),영산강,35.373333333333335,127.01388888888889,0.0,47.89,Korea,WAMIS Open API
1208,5001615,Damyanggun(Geumwolgyo),영산강,35.33277777777778,127.01666666666667,53.587,84.98,Korea,WAMIS Open API
1209,5001616,Damyanggun(Jungbang4gyo),,35.34138888888889,126.94555555555556,80.87,,Korea,WAMIS Open API
1210,5001617,Damyanggun(Wolgyegyo),,35.349722222222226,126.97305555555556,55.21,,Korea,WAMIS Open API
1211,5001618,Damyanggun(Jangcheongyo),용천,35.34777777777778,126.98972222222223,60.96,,Korea,WAMIS Open API
1212,5001620,Damyanggun(Deokyonggyo),오례천,35.28944444444444,127.03916666666666,50.311,36.77,Korea,WAMIS Open API
1213,5001625,Damyanggun(Samjigyo),영산강,35.27055555555555,126.93583333333333,26.878,234.96,Korea,WAMIS Open API
1214,5001627,Damyanggun(Yangjigyo),증암천,35.25611111111111,126.94361111111111,28.092,141.91,Korea,WAMIS Open API
1215,5001628,Damyanggun(Dongungyo),증암천,35.224444444444444,126.97972222222222,41.34,52.64,Korea,WAMIS Open API
1216,5001630,Damyanggun(Gwangjudam),증암천,35.199999999999996,126.98944444444444,2.452,43.61,Korea,WAMIS Open API
1217,5001632,Gwangju(Dochongyo),풍영정천,35.218333333333334,126.81194444444444,19.1,68.81,Korea,WAMIS Open API
1218,5001640,Gwangju(Yongsangyo),영산강,35.24055555555556,126.88861111111112,20.763,442.58,Korea,WAMIS Open API
1219,5001645,Gwangju(Cheomdandaegyo),영산강,35.2175,126.85694444444444,15.92,463.18,Korea,WAMIS Open API
1220,5001650,Gwangju(Yuchongyo),,35.16694444444444,126.85666666666665,15.635,103.47,Korea,WAMIS Open API
1221,5001655,Gwangju(Pungyeongjeongcheon2gyo),풍영정천,35.17166666666667,126.81472222222222,12.294,66.85,Korea,WAMIS Open API
