gauge_id,gauge_name,river,longitude,latitude,area
7518,Travnik I,Loški potok,14.598640912,45.6843435618,88888.88
7520,Travnik,Loški potok,14.5994048336,45.6852461578,88888.88
8010,Trenta,Soča,13.7500415112,46.3909947321,39.55
8020,Zgornja Soča,Soča,13.689424506,46.3428056349,90.85
8030,Kršovec,Soča,13.6049581597,46.3382068935,157.9
8031,Kršovec I,Soča,13.6032915223,46.3373317121,158.07
8040,Čezsoča,Soča,13.5595727798,46.3250465302,268.51
8050,Log Čezsoški I,Soča,13.500853549,46.3159232075,
8060,Log Čezsoški,Soča,13.4992505007,46.3151823114,324.76
8080,Kobarid I,Soča,13.5910285908,46.247711098,437.06
8090,Kobarid,Soča,13.5939635641,46.2450297283,
8100,Kamno,Soča,13.6400589907,46.2113935292,491.61
8110,Volarje,Soča,13.6771041739,46.2070591074,519.0
8120,Tolmin,Soča,13.720817994,46.1831709197,536.51
8135,Kanal,Soča,13.6373956154,46.0857425922,1355.8
8140,Plave,Soča,13.6003244199,46.0507398126,1412.08
8150,Šentmaver,Soča,13.6358748031,46.0031166928,
8160,Mrzlek,Soča,13.6445772979,45.9957513023,
8180,Solkan I,Soča,13.6598889571,45.981893855,1580.35
8190,Solkan,Soča,13.6555929184,45.9780639141,1581.33
8200,Solkan meja,Soča,13.6480958985,45.9732061126,
8210,Trenta,Zadnjica,13.7584361629,46.3820880554,23.3
8220,Lepena,Lepena,13.6603582648,46.3146641949,13.91
8228,Spodnji Log,Koritnica,13.6007923672,46.3996136226,34.2
8230,Log pod Mangartom,Koritnica,13.5885187825,46.3812864847,40.81
8240,Kal-Koritnica,Koritnica,13.5803091045,46.3418626904,86.04
8242,Kal-Koritnica I,Koritnica,13.5799855621,46.3418136802,86.03
8245,Log pod Mangartom,kanal Roje,13.6006428526,46.4054605847,99999.99
8250,Log pod Mangartom,Možnica,13.5882356336,46.3821828073,
8260,Log pod Mangartom I,Možnica,13.5884955914,46.3821860174,
8270,Žaga,Učja,13.4823776693,46.3101454742,50.19
