gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,vertical_datum
7843,BOUSSU-LEZ-WALCOURT,Ruisseau d'Erpion,50.2148064536694,4.37161540076996,213.395,5.51,Belgium,SPW Hydrometrie (Wallonia),DNG
7863,SILENRIEUX (RY),Ry Jaune,50.207168627191,4.42477809477408,210.5,7.38,Belgium,SPW Hydrometrie (Wallonia),---
7883,SOUMOY,Ruisseau de Soumoy,50.1894054201345,4.4373601580152,212.67,15.1,Belgium,SPW Hydrometrie (Wallonia),---
7891,CERFONTAINE,Eau d'Heure,50.1753128137704,4.40876688761839,209.24,19.82,Belgium,SPW Hydrometrie (Wallonia),DNG
7944,WIHERIES,Hantes,50.298913910057,4.17509237390395,125.531,142.34,Belgium,SPW Hydrometrie (Wallonia),---
7978,BERSILLIES-L'ABBAYE,Thure,50.2610527813596,4.14868313548264,143.294,56.98,Belgium,SPW Hydrometrie (Wallonia),DNG
8001,NAMUR,Haute Meuse (aval Dinant),50.4612749931291,4.86995296926426,0.0,,Belgium,SPW Hydrometrie (Wallonia),---
8016,TAILFER,Haute Meuse (aval Dinant),50.3937018869131,4.88039357648777,0.0,,Belgium,SPW Hydrometrie (Wallonia),DNG
8017,PROFONDEVILLE,Haute Meuse (aval Dinant),50.3850334355129,4.87658552190183,81.0,,Belgium,SPW Hydrometrie (Wallonia),---
8022,LUSTIN,Haute Meuse (aval Dinant),50.3671578984207,4.87297844318265,81.0,,Belgium,SPW Hydrometrie (Wallonia),---
8059,DINANT,Haute Meuse (aval Dinant),50.2542962795093,4.91495816584235,90.002,,Belgium,SPW Hydrometrie (Wallonia),DNG
8067,ANSEREMME Monia,Haute Meuse (amont Dinant),50.2419138991552,4.89406731584809,92.0,,Belgium,SPW Hydrometrie (Wallonia),---
8078,WAULSORT,Haute Meuse (amont Dinant),50.2078527027185,4.8496041126001,0.0,10604.02,Belgium,SPW Hydrometrie (Wallonia),---
8133,YVOIR,Bocq,50.3384767350493,4.90718919084365,106.266,,Belgium,SPW Hydrometrie (Wallonia),---
8163,WARNANT,Molignée,50.304477469792,4.82927327273955,107.507,125.39,Belgium,SPW Hydrometrie (Wallonia),---
8166,SOSOYE,Molignée,50.2983987885206,4.77683244332755,147.802,50.59,Belgium,SPW Hydrometrie (Wallonia),---
8181,FOY,Flavion,50.2920211511069,4.81893573492453,125.007,61.87,Belgium,SPW Hydrometrie (Wallonia),DNG
8221,GENDRON,Basse Lesse,50.2113270423334,4.96281486720209,103.42,1286.04,Belgium,SPW Hydrometrie (Wallonia),DNG
8231,HOUYET,Basse Lesse,50.1901304762494,5.0075880420837,114.581,1208.05,Belgium,SPW Hydrometrie (Wallonia),DNG
8341,DAVERDISSE,Haute Lesse,50.0404715213607,5.12834165939739,211.873,302.2,Belgium,SPW Hydrometrie (Wallonia),DNG
8527,JEMELLE,Lhomme,50.1555735648526,5.26178020161282,186.876,274.37,Belgium,SPW Hydrometrie (Wallonia),DNG
8622,HASTIERE,Hermeton,50.2010874375799,4.79819922552722,102.813,166.04,Belgium,SPW Hydrometrie (Wallonia),DNG
8661,FELENNE,Houille,50.0428755126103,4.8443687487241,188.847,112.9,Belgium,SPW Hydrometrie (Wallonia),DNG
8702,CHOOZ,Haute Meuse (amont Dinant),50.092133299138,4.80652567200908,101.428,10120.0,Belgium,SPW Hydrometrie (Wallonia),DNG
9021,TREIGNES,Viroin,50.0886264782466,4.67597464977044,119.696,548.22,Belgium,SPW Hydrometrie (Wallonia),---
9071,COUVIN,Eau Noire,50.0409071592922,4.49970006665675,191.085,175.89,Belgium,SPW Hydrometrie (Wallonia),DNG
9081,NISMES,Eau Blanche,50.0855478597689,4.55649808893709,150.617,248.91,Belgium,SPW Hydrometrie (Wallonia),---
9111,MARIEMBOURG,Brouffe,50.0945091292349,4.52833035311158,155.921,80.05,Belgium,SPW Hydrometrie (Wallonia),---
9201,COUVIN Ry de Rome,Ry de Rome,50.0375058562061,4.50216146332806,196.182,15.82,Belgium,SPW Hydrometrie (Wallonia),DNG
9214,PETIGNY,Ry de Rome,50.0243363691681,4.5351705802585,252.286,,Belgium,SPW Hydrometrie (Wallonia),DNG
9216,PETIGNY (Lac),Ry de Rome,50.0234465257906,4.53596333943908,0.0,,Belgium,SPW Hydrometrie (Wallonia),---
9221,PETIGNY  Ry de Rome,Ry de Rome,50.0128305457841,4.55144017495415,280.138,6.4,Belgium,SPW Hydrometrie (Wallonia),---
9223,PETIGNY Ermitage,Ry de l'Ermitage,50.0134288209524,4.54249918430046,280.127,1.36,Belgium,SPW Hydrometrie (Wallonia),---
9224,PETIGNY Fd Serpents,Ry du Font Aux Serpents,50.0220715129076,4.54663334897583,281.065,1.69,Belgium,SPW Hydrometrie (Wallonia),---
9232,BRULY,Ry de Pernelle,49.9980653464837,4.51563591932548,266.052,38.52,Belgium,SPW Hydrometrie (Wallonia),DNG
9434,MEMBRE Pont,Basse Semois,49.8637673609492,4.90200999678931,175.59,1226.05,Belgium,SPW Hydrometrie (Wallonia),---
9435,MEMBRE Amont,Basse Semois,49.8755141630542,4.90869340122139,177.502,1224.72,Belgium,SPW Hydrometrie (Wallonia),---
9461,BOUILLON,Moyenne Semois,49.7924572080678,5.06369803628619,213.251,1043.53,Belgium,SPW Hydrometrie (Wallonia),DNG
9531,LACUISINE,Moyenne Semois,49.7083650785944,5.32626941398789,295.624,,Belgium,SPW Hydrometrie (Wallonia),DNG
9541,CHINY,Moyenne Semois,49.7452242879419,5.35025874500371,304.179,738.5,Belgium,SPW Hydrometrie (Wallonia),DNG
