gauge_id,station_name,area,overlapArea,countryArea,calculationArea,distance,type,river,location,latitude,longitude,altitude,country,source
SJA8821000,Ahja jõgi: Ahja,896.51,0.0,896.54,896.51,25.55,HYDROLOGICAL,Ahja jõgi,Ahja,58.20759864786074,27.114986177184555,,Estonia,EstModel + WISKI
SJA9946000,Alajõgi: Alajõe,137.03,0.0,137.04,137.03,6.59,HYDROLOGICAL,Alajõgi,Alajõe,59.02924891115232,27.39532537643129,,Estonia,EstModel + WISKI
SJA9683000,Audru jõgi: Audru,321.83,0.0,321.87,321.83,11.69,HYDROLOGICAL,Audru jõgi,Audru,58.421817471529984,24.32117843200107,,Estonia,EstModel + WISKI
SJA2401000,Avijõgi: Separa,388.36,0.0,388.39,388.36,4.05,HYDROLOGICAL,Avijõgi,Separa,58.964535216156456,27.039207755180403,,Estonia,EstModel + WISKI
SJA7196000,Elva jõgi: Elva,230.68,0.0,230.69,230.68,32.66,HYDROLOGICAL,Elva jõgi,Elva,58.20984021662885,26.436964681884024,,Estonia,EstModel + WISKI
SJA5524000,Emajõgi: Rannu-Jõesuu,3366.41,0.0,3272.3,3366.41,99.36,HYDROLOGICAL,Emajõgi,Rannu-Jõesuu,58.38399721028434,26.136692130371287,,Estonia,EstModel + WISKI
SJA7331000,Emajõgi: Tartu,7849.21,0.0,7755.61,7849.21,41.5,HYDROLOGICAL,Emajõgi,Tartu,58.37842669616101,26.728619312791643,,Estonia,EstModel + WISKI
SJA1593000,Esna jõgi: Põhjaka I,196.12,0.0,196.14,196.12,8.39,HYDROLOGICAL,Esna jõgi,Põhjaka I,58.89066921797354,25.672006817140556,,Estonia,EstModel + WISKI
SJA4385000,Halliste jõgi: Riisa,1880.61,0.0,1870.5,1880.61,5.19,HYDROLOGICAL,Halliste jõgi,Riisa,58.478179633264,24.996987991599088,,Estonia,EstModel + WISKI
SJA3814000,Jägala jõgi: Kehra,1150.75,0.0,1150.75,866.07,26.23,HYDROLOGICAL,Jägala jõgi,Kehra,59.34264297816547,25.34289254502831,,Estonia,EstModel + WISKI
SJA9179000,Kasari jõgi: Kasari,2642.45,0.0,2642.76,2642.45,19.62,HYDROLOGICAL,Kasari jõgi,Kasari,58.72489205199725,23.9992720515606,,Estonia,EstModel + WISKI
SJA4444000,Keila jõgi: Keila,635.7,0.0,635.74,635.7,17.73,HYDROLOGICAL,Keila jõgi,Keila,59.30710084439266,24.437062337067708,,Estonia,EstModel + WISKI
SJA1098000,Kunda jõgi: Sämi,420.81,0.0,420.82,420.81,24.59,HYDROLOGICAL,Kunda jõgi,Sämi,59.37148934044406,26.585357727007292,,Estonia,EstModel + WISKI
SJA2259000,Kääpa jõgi: Kääpa,263.73,0.0,263.76,263.73,11.33,HYDROLOGICAL,Kääpa jõgi,Kääpa,58.69898457316565,26.851422926983645,,Estonia,EstModel + WISKI
SJB4324000,Leisi jõgi: Elu,52.58,0.0,52.58,52.58,8.68,HYDROLOGICAL,Leisi jõgi,Elu,58.51293,22.69738,,Estonia,EstModel + WISKI
SJA1582000,Leivajõgi: Pajupea,84.37,0.0,84.37,84.37,2.36,HYDROLOGICAL,Leivajõgi,Pajupea,59.37931150195829,24.97150255985747,,Estonia,EstModel + WISKI
SJB4488000,Linnussaare oja: Linnusaare,2.32,0.0,2.32,2.32,0.0,HYDROLOGICAL,Linnussaare oja,Linnusaare,58.86843587437961,26.199549600533484,,Estonia,EstModel + WISKI
SJA7798000,Loobu jõgi: Arbavere,245.55,0.0,245.55,245.55,32.83,HYDROLOGICAL,Loobu jõgi,Arbavere,59.43844738247368,25.965950781646043,,Estonia,EstModel + WISKI
SJA7233000,Luguse jõgi: Luguse,98.19,0.0,98.2,98.19,1.97,HYDROLOGICAL,Luguse jõgi,Luguse,58.80853091197389,22.714852786771363,,Estonia,EstModel + WISKI
SJA6159000,Lõve jõgi: Uue-Lõve,142.52,0.0,142.54,142.52,2.89,HYDROLOGICAL,Lõve jõgi,Uue-Lõve,58.362953734172635,22.824809734808,,Estonia,EstModel + WISKI
SJA7746000,Mustajõgi: Narva karjääri,293.52,0.0,293.53,293.52,6.8,HYDROLOGICAL,Mustajõgi,Narva karjääri,59.26562856091809,27.859508958397573,,Estonia,EstModel + WISKI
SJA6683000,Mustjõgi: Taheva,1765.68,0.0,978.23,1765.68,4.51,HYDROLOGICAL,Mustjõgi,Taheva,57.59677256342337,26.351647712603786,,Estonia,EstModel + WISKI
SJB4487000,Mustjõgi: Tulijärve,19.44,0.0,19.44,19.44,0.0,HYDROLOGICAL,Mustjõgi,Tulijärve,58.88283511948026,26.242249839369673,,Estonia,EstModel + WISKI
SJA5432000,Narva jõgi: Kuningaküla,47981.83,0.0,16409.06,47981.83,56.17,HYDROLOGICAL,Narva jõgi,Kuningaküla,59.12285145516652,27.806427230243887,,Estonia,EstModel + WISKI
SJA4515000,Narva jõgi: Narva linn,56047.31,0.0,17148.92,56047.31,14.08,HYDROLOGICAL,Narva jõgi,Narva linn,59.38092555615144,28.209215000942134,,Estonia,EstModel + WISKI
SJA2718000,Narva jõgi: Vasknarva,47806.99,0.0,16290.23,47806.99,72.11,HYDROLOGICAL,Narva jõgi,Vasknarva,58.999254434950515,27.742817770856654,,Estonia,EstModel + WISKI
SJA4875000,Narva veehoidla: Kulgu sadam,56030.65,0.0,17096.37,56030.65,0.0,HYDROLOGICAL,Narva veehoidla,Kulgu sadam,59.34202038331919,28.176158337778382,,Estonia,EstModel + WISKI
SJA6334000,Navesti jõgi: Aesoo,1048.86,0.0,1049.0,1048.86,13.95,HYDROLOGICAL,Navesti jõgi,Aesoo,58.51374237873882,25.064504897750275,,Estonia,EstModel + WISKI
SJA3204000,Pedja jõgi: Tõrve,738.89,0.0,738.97,738.89,46.57,HYDROLOGICAL,Pedja jõgi,Tõrve,58.60067750367524,26.377265300343826,,Estonia,EstModel + WISKI
SJA5411000,Peipsi järv: Mehikoorma,47806.07,0.0,16351.84,47806.07,0.0,HYDROLOGICAL,Peipsi järv,Mehikoorma,58.23593201237798,27.4772118602897,,Estonia,EstModel + WISKI
SJA5000000,Peipsi järv: Mustvee,47806.07,0.0,16351.84,47806.07,0.0,HYDROLOGICAL,Peipsi järv,Mustvee,58.84538092031466,26.95282962540206,,Estonia,EstModel + WISKI
SJA8843000,Peipsi järv: Praaga,47806.07,0.0,16351.84,47806.07,0.0,HYDROLOGICAL,Peipsi järv,Praaga,58.434534810726866,27.237788059564636,,Estonia,EstModel + WISKI
SJA6279000,Pirita jõgi: Kloostrimetsa,1970.01,0.0,1970.01,843.12,5.07,HYDROLOGICAL,Pirita jõgi,Kloostrimetsa,59.46459726905639,24.882071346916867,,Estonia,EstModel + WISKI
SJA5928000,Piusa jõgi: Korela,743.82,0.0,521.79,741.32,14.37,HYDROLOGICAL,Piusa jõgi,Korela,57.883689084235954,27.72857539463013,,Estonia,EstModel + WISKI
