gauge_id,altitude,area,river,Codigo_Adicional,Codigo_Operadora_Unidade_UF,Data_Periodo_Climatologica_Fim,Data_Periodo_Climatologica_Inicio,Data_Periodo_Desc_Liquida_Fim,Data_Periodo_Desc_liquida_Inicio,Data_Periodo_Escala_Fim,Data_Periodo_Escala_Inicio,Data_Periodo_Piezometria_Fim,Data_Periodo_Piezometria_Inicio,Data_Periodo_Pluviometro_Fim,Data_Periodo_Pluviometro_Inicio,Data_Periodo_Qual_Agua_Fim,Data_Periodo_Qual_Agua_Inicio,Data_Periodo_Registrador_Chuva_Fim,Data_Periodo_Registrador_Chuva_Inicio,Data_Periodo_Registrador_Nivel_Fim,Data_Periodo_Registrador_Nivel_Inicio,Data_Periodo_Sedimento_Inicio,Data_Periodo_Sedimento_fim,Data_Periodo_Tanque_Evapo_Fim,Data_Periodo_Tanque_Evapo_Inicio,Data_Periodo_Telemetrica_Fim,Data_Periodo_Telemetrica_Inicio,Data_Ultima_Atualizacao,station_name,latitude,longitude,Municipio_Codigo,Municipio_Nome,Operadora_Codigo,Operadora_Sigla,Operadora_Sub_Unidade_UF,Operando,Responsavel_Codigo,Responsavel_Sigla,Responsavel_Unidade_UF,Rio_Codigo,Rio_Nome,Sub_Bacia_Codigo,Sub_Bacia_Nome,Tipo_Estacao,Tipo_Estacao_Climatologica,Tipo_Estacao_Desc_Liquida,Tipo_Estacao_Escala,Tipo_Estacao_Piezometria,Tipo_Estacao_Pluviometro,Tipo_Estacao_Qual_Agua,Tipo_Estacao_Registrador_Chuva,Tipo_Estacao_Registrador_Nivel,Tipo_Estacao_Sedimentos,Tipo_Estacao_Tanque_evapo,Tipo_Estacao_Telemetrica,Tipo_Rede_Basica,Tipo_Rede_Captacao,Tipo_Rede_Classe_Vazao,Tipo_Rede_Curso_Dagua,Tipo_Rede_Energetica,Tipo_Rede_Estrategica,Tipo_Rede_Navegacao,Tipo_Rede_Qual_Agua,Tipo_Rede_Sedimentos,UF_Estacao,UF_Nome_Estacao,codigobacia
12530000,,2070.0,RIO AMAZONAS,,2,,,,1982-06-01 00:00:00.0,,1982-06-01 00:00:00.0,,,,,,2011-04-01 00:00:00.0,,,,,,,,,2012-02-01 00:00:00.0,2005-09-01 00:00:00.0,2023-09-08 00:00:00.0,FAZENDA PARANACRE,-7.9511,-71.4822,2011000,TARAUACÁ,500,ÁGUA E SOLO,1,1,1,ANA,27,12266000,RIO GREGÓRIO,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,0,7,1,3,0,0,0,3,0,AC,ACRE,1
12557000,239.0,17.05,RIO AMAZONAS,,,,,,2018-07-01 00:00:00.0,,2016-10-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2025-01-01 00:00:00.0,2025-08-12 17:23:00.0,JORDÃO,-9.1883,-71.9525,2004400,JORDÃO,380,SEMA-AC,1,1,380,SEMA-AC,2,12280000,RIO TARAUACÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,0,3,0,0,0,3,0,AC,ACRE,1
12590000,,8770.0,RIO AMAZONAS,ANA,2,,,,2013-11-01 00:00:00.0,,2013-11-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2013-11-01 00:00:00.0,2023-09-09 00:00:00.0,PONTE DE TARAUACÁ,-8.1519,-70.7456,2011000,TARAUACÁ,500,ÁGUA E SOLO,3,1,1,ANA,27,12280000,RIO TARAUACÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,1,2,0,0,0,3,0,AC,ACRE,1
12600001,,15600.0,RIO AMAZONAS,,2,,,,1981-04-01 00:00:00.0,,1981-04-01 00:00:00.0,,,,,,2008-04-01 00:00:00.0,,,,,2008-04-01 00:00:00.0,,,,2016-04-01 00:00:00.0,2005-09-01 00:00:00.0,2023-09-09 00:00:00.0,TARAUACÁ - JUSANTE,-8.1458,-70.7153,2011000,TARAUACÁ,500,ÁGUA E SOLO,3,1,1,ANA,27,12280000,RIO TARAUACÁ,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,1,0,0,1,6,1,3,0,0,0,3,1,AC,ACRE,1
12640000,,12800.0,RIO AMAZONAS,ANA,2,,,,1997-02-01 00:00:00.0,,1997-02-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2005-09-01 00:00:00.0,2023-09-09 00:00:00.0,SERINGAL SANTA HELENA,-8.6858,-70.5511,2004000,FEIJÓ,500,ÁGUA E SOLO,3,1,1,ANA,27,12286000,RIO ENVIRA,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,1,3,0,0,0,3,0,AC,ACRE,1
12650000,,17000.0,RIO AMAZONAS,ANA,2,,,,1980-09-01 00:00:00.0,,1980-09-01 00:00:00.0,,,,,,1998-08-01 00:00:00.0,,,,,1992-09-01 00:00:00.0,,,,,2014-03-01 00:00:00.0,2023-09-09 00:00:00.0,FEIJÓ,-8.1636,-70.3564,2004000,FEIJÓ,500,ÁGUA E SOLO,3,1,1,ANA,27,12286000,RIO ENVIRA,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,....",Fluviometrica,0,1,1,0,0,1,0,0,1,0,1,1,7,1,3,0,0,0,3,1,AC,ACRE,1
13169900,,15917.0,RIO AMAZONAS,,2,,,,2019-12-01 00:00:00.0,,2016-10-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2018-10-01 00:00:00.0,2022-11-16 00:00:00.0,SANTA ROSA DO PURUS - SEDE,-9.4342,-70.4942,2008400,SANTA ROSA DO PURUS,500,ÁGUA E SOLO,3,1,1,ANA,27,13300000,RIO PURUS,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,0,3,0,0,0,3,0,AC,ACRE,1
13178000,,,RIO AMAZONAS,,,,,,,,,,,,,,2017-02-01 00:00:00.0,,,,,,,,,,,2025-08-12 17:23:00.0,SANTA ROSA DO PURUS,-9.4342,-70.4942,2008400,SANTA ROSA DO PURUS,380,SEMA-AC,,1,380,SEMA-AC,2,13300000,RIO PURUS,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,0,0,3,0,AC,ACRE,1
13180000,,32800.0,RIO AMAZONAS,ANA,1,,,,1981-09-01 00:00:00.0,,1981-09-01 00:00:00.0,,,,,,2016-01-01 00:00:00.0,,,,,,,,,,2002-07-01 00:00:00.0,2024-10-15 16:05:20.0,MANOEL URBANO,-8.8886,-69.275,2006000,MANOEL URBANO,82,SGB-CPRM,94,1,1,ANA,27,13300000,RIO PURUS,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,0,0,0,1,AC,ACRE,1
13300000,,11200.0,RIO AMAZONAS,ANA,1,,,,1981-09-01 00:00:00.0,,1981-09-01 00:00:00.0,,,,,,2004-10-01 00:00:00.0,,,,,,,,,,2004-10-01 00:00:00.0,2024-10-15 16:05:20.0,SERINGAL SÃO JOSÉ,-9.3744,-68.7239,2010000,SENA MADUREIRA,82,SGB-CPRM,4,1,1,ANA,27,13329000,RIO IACO,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,3,0,0,0,3,0,AC,ACRE,1
13310000,,18000.0,RIO AMAZONAS,ANA,1,,,,2006-05-01 00:00:00.0,,2005-10-01 00:00:00.0,,,,,,2012-01-01 00:00:00.0,,,,,,,,,,2012-01-01 00:00:00.0,2024-10-15 16:05:20.0,SENA MADUREIRA,-9.0678,-68.6531,2010000,SENA MADUREIRA,82,SGB-CPRM,94,1,1,ANA,27,13329000,RIO IACO,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,3,0,0,0,3,1,AC,ACRE,1
13405000,,6110.0,RIO AMAZONAS,ANA,2,,,,1983-01-01 00:00:00.0,,1983-01-01 00:00:00.0,,,,,,2016-10-01 00:00:00.0,,,,,,,,,,2004-10-01 00:00:00.0,2023-09-11 00:00:00.0,SERINGAL GUARANY,-9.1103,-68.9933,2010000,SENA MADUREIRA,500,ÁGUA E SOLO,3,1,1,ANA,27,13329800,RIO CAETÉ,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,1,3,0,1,0,3,0,AC,ACRE,1
13445000,,3760.0,RIO AMAZONAS,,1,,,,2001-08-01 00:00:00.0,,,,,,,,2025-01-01 00:00:00.0,,,,,,,,,,2001-08-01 00:00:00.0,2025-08-01 00:00:00.0,PONTE BRASIL-PERU,-10.9414,-69.5769,2001000,ASSIS BRASIL,82,SGB-CPRM,5,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,0,0,0,1,0,0,0,0,1,1,7,1,2,0,0,0,0,0,AC,ACRE,1
