,gauge_id,station_name,river,altitude,area,xrkko08,yhkko09,latitude,longitude
569,210435,Deutsch-Jahrndorf (Neurießäcker),Wiesgraben,129.22,0.0,682207.02,461129.36,47.987752036270464,17.11594810931761
570,208686,Schwarzau im Gebirge (Bundesstraße),Schwarza,601.8,128.4,577706.56,437321.88,47.81091804866318,15.706359876403784
571,208694,Singerin,Naßbach,576.71,80.0,579317.72,432935.43,47.77102863540416,15.726066401050929
572,208702,Singerin (Höllental),Schwarza,568.99,252.3,579969.27,432953.62,47.7710116128867,15.734765099658174
573,208710,Gloggnitz (Adlerbrücke),Schwarza,435.38,472.2,595525.67,422981.7,47.676838554615614,15.937803864751
574,208736,Stixenstein (Schloß),Sierning,459.73,89.7,598397.45,430550.67,47.744025753509945,15.979468171375576
575,208785,Loipersbach,Schwarza,344.46,716.6,609181.68,428291.79,47.720326106166446,16.122143953038382
576,208819,Aspang-Höll,Großer Pestingbach,439.73,96.5,608147.22,412922.13,47.582464386552125,16.101070245022427
577,208827,Feistritz am Wechsel,Feistritz,447.86,114.4,606918.72,413751.02,47.59030949271884,16.085134034052803
578,214353,Feistritz am Wechsel (Summenpegel),Feistritz mit Kraftwerksdurchfluss,447.86,114.4,606918.72,413751.02,47.59030949271884,16.085134034052803
579,214395,Petersbaumgarten,Pitten,384.78,271.1,610078.72,418937.14,47.63592645488176,16.129613260162344
580,209544,Scheiblingkirchen,Schlattenbach,369.71,69.5,610516.31,421671.14,47.660366911076586,16.13674579842255
581,208843,Bad Erlach,Pitten,306.96,412.9,615971.79,429225.9,47.726499029867384,16.213073655116613
582,215608,Lanzenkirchen,Leitha,294.05,1170.0,617993.2,430971.67,47.74152203379622,16.24088766261478
583,208884,Wiener Neustadt (Straßenbrücke),Leitha,263.97,1220.6,620156.33,437854.05,47.80266687918162,16.27318823266197
584,209288,Zillingdorf,Leitha,238.03,1242.2,623763.03,444012.9,47.85679932883118,16.324477783847914
585,209593,Winzendorf (Siedlerstr.),Prossetbach,323.48,33.4,608194.29,438451.33,47.81198938794393,16.11382893685965
586,208900,Bad Fischau (Thermalbad),Warme Fischa,280.76,1.6,612006.25,440823.55,47.83208050737682,16.165861606888573
587,209585,Winzendorf (Frauenbachgasse),Frauenbach,316.87,14.4,608488.16,437810.41,47.806132323482174,16.117445032713583
588,208918,Wiener Neustadt (Reitweg),Warme Fischa,262.68,92.5,616156.57,439643.34,47.82009700853101,16.220691435070755
589,215558,Urschendorf (Schlosspark),Johannesbach,342.41,27.4,607017.18,435153.5,47.78271569234927,16.096552849164564
590,208926,Wiener Neustadt (Ostende),Warme Fischa,255.52,196.5,618720.47,440191.58,47.82416887134807,16.25519996879145
591,208934,Peisching (Brücke),Kehrbach,355.52,0.0,608092.02,428463.27,47.72221843972048,16.10770658292847
592,208942,Peisching,Mühlbach,355.83,0.0,608060.7,428471.07,47.722298619430966,16.107292960473814
593,208967,Katzelsdorf (EVN),Katzelsdorfer Werkskanal,270.49,0.0,619723.35,436838.91,47.793687400646405,16.266899266416797
594,208975,Wiener Neustadt (Flußbauhof),Wiener Neustädter Kanal,260.8,0.0,618926.19,439165.1,47.81487084824041,16.257430874712117
595,208983,Wiener Neustadt (J. Straußg.),Kehrbach,255.44,0.0,618986.05,439635.61,47.81908068419537,16.258466146988745
596,214387,Wiener Neustadt (Lichtenwörtherg.),Warme Fischa,251.53,241.8,620262.03,441462.65,47.835073462491785,16.276421695276614
597,214031,Deutsch Brodersdorf (Messseilbahn),Leitha,192.56,1598.9,634723.2,453521.98,47.93839476961338,16.476004302201858
598,215517,Götzendorf,Leitha,167.62,1709.6,642470.84,461894.7,48.01079095016799,16.584327367627907
599,209007,Deutsch Haslau,Leitha,139.26,1982.0,668974.37,467181.06,48.0477888865736,16.942568895585612
600,210443,Gattendorf (Schleuse),Kleine Leitha,136.1,0.0,672646.85,463996.13,48.017625050343845,16.98977814262837
601,210450,Deutsch-Jahrndorf (Albrechtmühle),Kleine Leitha,131.38,0.0,678733.14,462807.18,48.00433905470441,17.070528055163052
602,210013,Nickelsdorf (Kläranlage),Leitha,127.22,2131.3,680583.95,456367.67,47.94567205419702,17.091140031102018
