gauge_id,gauge_name,river,area,gauge_altitude,latitude,longitude
149199984,ZAKOPANE-KUŹNICE,Bystra (214124),15.09,1009.22,49.2694,19.981732777777776
149199985,RABKA,Poniczanka (213812),31.95,477.521,49.60686944444445,19.95265833333333
149199986,RABKA 1,Raba (2138),59.31,473.49,49.60802055555556,19.94580805555556
149199987,NOWE BYSTRE-TYLKI,Bystry (2141162),13.2,789.67,49.34373472222222,19.918454166666667
149199988,RATUŁÓW,Bystry (2141162),29.49,666.94,49.39219222222222,19.88639472222222
149199989,KOJSÓWKA,Dunajec (214),88.61,837.34,49.3113475,19.832445
149199990,SPYTKOWICE,Skawa (2134),5.59,565.59,49.57272666666667,19.788776111111112
149199991,BYSTRA,Bystrzanka (21342),74.0,437.977,49.648741944444446,19.78363527777778
149199992,SUŁKOWICE,Wieprzówka (21348),30.96,366.681,49.82903555555556,19.3738475
149199993,JELEŚNIA,Koszarawa (21324),116.09,422.191,49.65090444444444,19.32942027777778
149199994,PORĄBKA,Soła (2132),1097.73,297.18,49.81218444444444,19.213505555555557
149199995,UJSOŁY,Cicha (213224),27.09,599.251,49.45680638888889,19.147491944444443
149199996,RYCERKA DOLNA,Rycerka (213218),71.93,504.146,49.49907722222223,19.091400555555555
149199997,LIPOWA,Leśnianka (213238),21.53,521.351,49.66533722222222,19.076892222222224
149199998,SÓL,Soła (2132),54.7,522.04,49.48998805555556,19.058321944444444
149199999,BIELSKO-BIAŁA,Biała (2114),70.15,316.928,49.809875,19.04599138888889
149200010,PORONIN,Poroniec (214128),77.95,730.631,49.337185833333336,20.00309861111111
149200020,SZAFLARY,Biały Dunajec (21412),209.75,635.561,49.424185,20.024836666666666
149200030,NOWY TARG,Dunajec (214),434.17,579.44,49.48442111111111,20.031038888888887
149200040,KASINKA MAŁA,Raba (2138),353.1,357.071,49.70464305555556,20.03262972222222
149200050,NOWY TARG-KOWANIEC,Dunajec (214),681.42,573.685,49.48694111111112,20.053686944444443
149200060,MSZANA DOLNA,Raba (2138),157.52,394.76,49.65812555555556,20.059150833333334
149200070,MORSKIE OKO,Jez. Morskie Oko (2141542),6.24,1393.84,49.20090166666667,20.07136361111111
149200080,MSZANA DOLNA,Mszanka (21382),166.64,391.937,49.67482472222222,20.079306388888888
149200090,DOBCZYCE,Raba (2138),768.48,235.763,49.88352222222222,20.086166388888888
149200100,ŁYSA POLANA,Białka (214154),63.54,965.716,49.26361138888889,20.11495277777778
149200110,TRYBSZ 2,Białka (214154),201.22,639.45,49.41782611111111,20.11766527777778
149200120,NIEDZICA,Niedziczanka (214172),135.88,495.816,49.411270555555554,20.30226111111111
149200130,STRADOMKA,Stradomka (21388),363.02,204.904,49.92056833333333,20.308409722222223
149200140,SROMOWCE WYŻNE,Dunajec (214),1284.82,470.934,49.40042694444444,20.35396055555556
149200150,TYLMANOWA,Ochotnica (2141976),105.87,394.486,49.517360833333335,20.387046388888887
149200160,KROŚCIENKO,Dunajec (214),1579.22,413.603,49.44164222222222,20.42942083333333
149200170,PROSZÓWKI,Raba (2138),1482.17,185.406,49.99626138888889,20.438459444444444
149200180,SZCZAWNICA,Grajcarek (214196),72.97,468.848,49.42035583333333,20.4933125
149200190,GOŁKOWICE,Dunajec (214),2038.36,312.135,49.54965583333333,20.569879722222225
149200200,JAKUBKOWICE,Łososina (214734),346.48,246.446,49.73932861111111,20.629922222222223
149200210,TĘGOBORZE,Dunajec (214),4772.33,259.298,49.72136805555556,20.652000277777777
149200220,STARY SĄCZ,Poprad (2142),2072.99,295.494,49.568555,20.659602222222222
149200230,CZCHÓW,Dunajec (214),5313.06,222.543,49.81650972222222,20.68226444444445
149200240,NOWY SĄCZ,Dunajec (214),4334.22,275.813,49.627273333333335,20.68709055555556
149200250,NOWY SĄCZ,Kamienica (21432),236.22,278.968,49.62526416666667,20.695704166666665
149200260,NOWY SĄCZ,Łubinka (21434),66.37,281.435,49.635205,20.704647777777776
149200270,ŁABOWA,Kamienica (21432),64.66,450.321,49.52647055555556,20.85899805555556
149200280,ZGŁOBICE,Dunajec (214),5642.5,189.728,49.974961666666665,20.879627777777777
149200290,MUSZYNA-MILIK,Poprad (2142),1698.94,440.532,49.34993083333334,20.885239166666665
149200300,MUSZYNA,Poprad (2142),1517.78,446.487,49.339329722222224,20.891883611111112
